kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,0.0,,,,130.52407219376116,,,,,0.0,,1.0,
I,1.0,,,,90.5652095338454,,,,,1.0,,1.0,
I,2.0,,,,326.9130126201771,,,,,2.0,,0.0,
I,3.0,,,,147.5119771546212,,,,,3.0,,3.0,
I,4.0,,,,133.06651342413087,,,,,4.0,,0.0,
I,5.0,,,,33.25765248919817,,,,,5.0,,1.0,
I,6.0,,,,127.10071721780992,,,,,6.0,,1.0,
I,7.0,,,,113.96514769721021,,,,,7.0,,0.0,
I,8.0,,,,88.71888270730975,,,,,8.0,,0.0,
I,9.0,,,,9.292409621608387,,,,,9.0,,1.0,
I,10.0,,,,36.91365401101673,,,,,10.0,,0.0,
I,11.0,,,,48.29719214277277,,,,,11.0,,0.0,
I,12.0,,,,313.1342260917714,,,,,12.0,,0.0,
I,13.0,,,,82.27930881203191,,,,,13.0,,0.0,
I,14.0,,,,148.8453451160694,,,,,14.0,,1.0,
I,15.0,,,,51.65011184637202,,,,,15.0,,1.0,
I,16.0,,,,123.87775041419654,,,,,16.0,,1.0,
I,17.0,,,,143.69142321199354,,,,,17.0,,3.0,
I,18.0,,,,65.83592872092244,,,,,19.0,,1.0,
I,19.0,,,,75.84427907524132,,,,,20.0,,2.0,
I,20.0,,,,99.4976398161532,,,,,21.0,,1.0,
I,21.0,,,,115.93113768073353,,,,,22.0,,0.0,
I,22.0,,,,13.577469977107171,,,,,23.0,,0.0,
I,23.0,,,,124.87392010243444,,,,,24.0,,0.0,
I,24.0,,,,54.88594206755632,,,,,25.0,,2.0,
I,25.0,,,,5.361215011629483,,,,,26.0,,0.0,
I,26.0,,,,8.922025397850264,,,,,27.0,,1.0,
I,27.0,,,,78.206527483403,,,,,28.0,,2.0,
I,28.0,,,,30.42847670021611,,,,,29.0,,0.0,
I,29.0,,,,197.93362507783627,,,,,30.0,,0.0,
I,30.0,,,,50.221246744345365,,,,,31.0,,0.0,
I,31.0,,,,215.50108549827377,,,,,32.0,,1.0,
I,32.0,,,,53.30833411892746,,,,,33.0,,1.0,
I,33.0,,,,468.39401277362947,,,,,34.0,,1.0,
I,34.0,,,,79.21528137565022,,,,,35.0,,1.0,
I,35.0,,,,137.47227779625274,,,,,36.0,,1.0,
I,36.0,,,,87.63122296611483,,,,,37.0,,1.0,
I,37.0,,,,213.88340425479066,,,,,38.0,,3.0,
I,38.0,,,,97.14947518443354,,,,,39.0,,1.0,
I,39.0,,,,223.90324977863588,,,,,40.0,,1.0,
