kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,0.0,,,,522.6965152715053,,,,,0.0,,2.0,
I,1.0,,,,13.347194795763071,,,,,1.0,,0.0,
I,2.0,,,,134.95789104368447,,,,,2.0,,8.0,
I,3.0,,,,66.9378871883962,,,,,4.0,,10.0,
I,4.0,,,,52.62884713457448,,,,,5.0,,0.0,
I,5.0,,,,14.46941307432851,,,,,6.0,,6.0,
I,6.0,,,,84.21874161282499,,,,,7.0,,1.0,
I,7.0,,,,82.86341504468666,,,,,9.0,,5.0,
I,8.0,,,,344.5448250872798,,,,,10.0,,8.0,
I,9.0,,,,59.25520340782255,,,,,11.0,,3.0,
I,10.0,,,,5.018277748537908,,,,,12.0,,4.0,
I,11.0,,,,4.980982388463798,,,,,13.0,,1.0,
I,12.0,,,,93.01515521169605,,,,,16.0,,3.0,
I,13.0,,,,156.50353395652377,,,,,17.0,,4.0,
I,14.0,,,,18.062392922081557,,,,,18.0,,6.0,
I,15.0,,,,36.1679939914113,,,,,19.0,,1.0,
I,16.0,,,,2.1353535793563445,,,,,20.0,,5.0,
I,17.0,,,,214.70417747424827,,,,,21.0,,10.0,
I,18.0,,,,195.7403589421384,,,,,22.0,,7.0,
I,19.0,,,,7.784651502265285,,,,,23.0,,7.0,
I,20.0,,,,14.704794364593152,,,,,24.0,,10.0,
I,21.0,,,,348.84740109693945,,,,,25.0,,5.0,
I,22.0,,,,258.78384994080295,,,,,26.0,,6.0,
I,23.0,,,,531.6752196625769,,,,,27.0,,1.0,
I,24.0,,,,21.62282492418219,,,,,28.0,,4.0,
I,25.0,,,,181.00740137486653,,,,,29.0,,2.0,
I,26.0,,,,569.3778056740844,,,,,31.0,,4.0,
I,27.0,,,,124.05990203578375,,,,,32.0,,3.0,
I,28.0,,,,59.913681907483635,,,,,33.0,,6.0,
I,29.0,,,,42.64896536196404,,,,,34.0,,10.0,
I,30.0,,,,367.2292187264785,,,,,35.0,,7.0,
I,31.0,,,,187.6935969234289,,,,,36.0,,0.0,
I,32.0,,,,586.014765785563,,,,,37.0,,0.0,
I,33.0,,,,43.336649117771714,,,,,38.0,,5.0,
I,34.0,,,,475.61380733984555,,,,,39.0,,0.0,
I,35.0,,,,344.1061925464455,,,,,40.0,,9.0,
I,36.0,,,,35.91884778606729,,,,,41.0,,9.0,
I,37.0,,,,45.52736479364491,,,,,42.0,,8.0,
I,38.0,,,,146.32549175040296,,,,,43.0,,7.0,
I,39.0,,,,38.58121182167939,,,,,44.0,,0.0,
I,40.0,,,,105.27515402651554,,,,,45.0,,9.0,
I,41.0,,,,486.36035801661586,,,,,46.0,,1.0,
I,42.0,,,,15.037578151916549,,,,,47.0,,4.0,
I,43.0,,,,475.68383732686453,,,,,48.0,,0.0,
I,44.0,,,,16.171332981941376,,,,,49.0,,0.0,
I,45.0,,,,297.0297120514497,,,,,50.0,,10.0,
I,46.0,,,,900.4599400202806,,,,,51.0,,10.0,
I,47.0,,,,30.78928343642007,,,,,53.0,,6.0,
I,48.0,,,,183.48301633872964,,,,,55.0,,6.0,
I,49.0,,,,104.39903567519477,,,,,56.0,,8.0,
I,50.0,,,,89.26214921568516,,,,,57.0,,3.0,
I,51.0,,,,115.60546742411276,,,,,59.0,,0.0,
I,52.0,,,,119.33108844164637,,,,,60.0,,5.0,
