"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"12321468","09016462112003931000008202S4","OXXO SUC 500MP N PLAZA BOSQUES MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","BOSQUES DE LOS CIRUELOS","CALLE","BOSQUE DE CIPRESES SUR","CALLE","BOSQUE DE HAYAS","CALLE","BOSQUE DE CAFETOS","187",,,,,,"COLONIA","BOSQUES DE LAS LOMAS",,,,"11700","09","CIUDAD DE MÉXICO","016","Miguel Hidalgo","0001","Miguel Hidalgo                                                                                                ","1264","002",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.40491686","-99.23939314","2026-04"
"9414550","09004462112001162000008202S4","OXXO SUC 501JE CARTUCHOS MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","BOSQUE DE REFORMA","CALLE","MISILES","PEATONAL","FÁBRICA DE CARTUCHOS","CALLE","FÁBRICA DE CARTUCHOS","348",,,,,,"COLONIA","LOMAS DE CHAMIZAL",,,,"5530","09","CIUDAD DE MÉXICO","004","Cuajimalpa de Morelos","0001","Cuajimalpa de Morelos                                                                                         ","0180","007",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.38930735","-99.26119296","2024-05"
"6851055","09004462112001002000008202S2","OXXO SUC 501X0 LA CITE MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","6 a 10 personas","AUTOPISTA","MÉXICO TOLUCA (PROLONGACIÓN PASEO DE LA REFORMA)","CALLE","PASEO DE LOS TAMARINDOS","CALLE","PASEO DE LA REFORMA","CARRETERA","FEDERAL MÉXICO TOLUCA","5192",,,,,,"COLONIA","SAN GABRIEL",,,,"5320","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón                                                                                                ","1379","025",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.37848162","-99.25521241","2018-11"
"9455451","09010462112002802000008202S1","OXXO SUC 50255 PILOTO MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","PUERTO TUXPAN","AVENIDA","GUSTAVO DÍAZ ORDAZ","CALLE","PUERTO LA PAZ","CALLE","PUERTO TRUJILLO","125",,,,,,"COLONIA","AMPLIACIÓN PILOTO ADOLFO LÓPEZ MATEOS",,,,"1290","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón                                                                                                ","1580","059",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.37101909","-99.22748545","2024-05"
"12321531","09010462112003561000008202S2","OXXO SUC 503F9 GIRARDON MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","FRANCISCO GIRARDON","CALLE","FERROCARIL DE CUERNAVACA","AVENIDA","SANTA LUCIA","CALLE","CHILPA","92",,,,,,"COLONIA","SANTA MARIA NONOALCO",,,,"01420","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón                                                                                                ","2146","009",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.38051881","-99.19492848","2026-04"
"12321532","09016462112003941000008202S3","OXXO SUC 503IM GAVIOTA MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","GAVIOTA","CALLE","ARQUITECTO CARLOS LAZO","CALLE","FRANCISCO MARTINEZ","BOULEVARD","ADOLFO LOPEZ MATEOS","20",,,,,,"COLONIA","TACUBAYA",,,,"11870","09","CIUDAD DE MÉXICO","016","Miguel Hidalgo","0001","Miguel Hidalgo                                                                                                ","1156","007",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.40261168","-99.19144315","2026-04"
"9449528","09014462112004462000008202S4","OXXO SUC 503X9 GOYA MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","6 a 10 personas","CIRCUITO","INTERIOR (AVENIDA PATRIOTISMO)","CALLE","GOYA","CALLE","CAMPANA","CALLE","AUGUSTO RODIN","889",,,,,,"COLONIA","INSURGENTES MIXCOAC",,,,"3920","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez                                                                                                 ","0793","014",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.37329182","-99.18703055","2024-05"
"12324769","09010462112003471000008202S4","OXXO SUC 504TD AV. MINAS MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","MINAS ","CALLE","TERCERA CERRADA DE MINAS","CALLE","NINGUNO","CALLE","NINGUNO",,"MZ 1 LT 1",,,,,"COLONIA","ARVIDE",,,,"01280","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón                                                                                                ","2112","010",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.38088252","-99.20784846","2026-04"
"9461831","09010462112002792000008202S4","OXXO SUC 50599 TORRENTE MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","6 a 10 personas","CALZADA","CALZADA DE LAS ÁGUILAS","CALLE","PRIMERA CERRADA ÁGUILAS","CALLE","SEGUNDA CERRADA ÁGUILAS","CALLE","ÁGUILAS","453",,,,,,"COLONIA","LAS ÁGUILAS",,,,"1710","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón                                                                                                ","0953","010",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.3596406","-99.20823115","2024-05"
"12324770","09010462112003481000008202S3","OXXO SUC 505HU RINCONADA MEX","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","BOULEVARD","PRESIDENTE LOPEZ MATEOS","CALLE","DE LAS AGUILAS","CALLE","TLACOPAC","AVENIDA","LAS FLORES","204",,,,,,"COLONIA","CAMPESTRE",,,,"01040","09","CIUDAD DE MÉXICO","010","Álvaro Obregón","0001","Álvaro Obregón                                                                                                ","0987","025",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.35766639","-99.19511001","2026-04"
