"CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","NOM_LOC","CVE_AGEB","CVE_MZA","POBTOT","POBFEM","POBMAS","POB0_14","POB0_14_P","P15A29A","P15A29A_P","P30A59A","P30A59A_P","P_60YMAS","P_60YMAS_P","P_CD_T","P_CD_P","GRAPROES","GRAPROES_F","GRAPROES_M","VIVTOT","VIVPAR","VIVPAR_P","TVIPAHAB","TVIPAHAB_P","VIVNOHAB","VIVNOHAB_P","PROM_OCUP","PRO_OCUP_C","V3MASOCU","V3MASOCU_P","VPH_PIDT","VPH_PIDT_P","VPH_C_EL","VPH_C_EL_P","VPH_EXSA","VPH_EXSA_P","VPH_DREN","VPH_DREN_P","RECUCALL_C","RAMPAS_C","PASOPEAT_C","BANQUETA_C","GUARNICI_C","CICLOVIA_C","CICLOCAR_C","ALUMPUB_C","LETRERO_C","TELPUB_C","ARBOLES_C","DRENAJEP_C","TRANSCOL_C","ACESOPER_C","ACESOAUT_C","PUESSEMI_C","PUESAMBU_C","RECUCALL_D","RAMPAS_D","BANQUETA_D","GUARNICI_D","ALUMPUB_D","LETRERO_D","TELPUB_D","ARBOLES_D","DRENAJEP_D","TRANSCOL_D","ACESOPER_D","ACESOAUT_D","PUESSEMI_D","PUESAMBU_D","FECHA_POLI","FECHA_INF"
"0901500010964002","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","0964","002","471","250","221","86","18.26","115","24.42","195","41.4","75","15.92","35","7.43","11.81","11.6","12.03","178","178","100.0","157","88.2","21","11.8","3.0","0.85","5","3.21","156","100.0","156","100.0","156","100.0","156","100.0","1","3","2","1","1","3","3","1","1","1","2","1","2","3","3","2","2","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"0901500010790012","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","0790","012","12","7","5","-1","8.33","-1","8.33","8","66.67","-1","16.67","-1","8.33","16.18","15.17","17.4","9","9","100.0","7","77.78","-1","22.22","1.71","0.55","0","0.0","7","100.0","7","100.0","7","100.0","7","100.0","1","2","1","1","1","3","3","1","1","3","1","1","3","3","3","2","2","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"0901600010815005","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0815","005","123","61","62","23","18.7","29","23.58","52","42.28","19","15.45","7","5.69","12.21","12.21","12.21","35","35","100.0","31","88.57","4","11.43","3.97","0.88","0","0.0","31","100.0","31","100.0","31","100.0","31","100.0","1","1","1","1","1","3","3","2","2","2","2","1","2","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010798003","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0798","003","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","1","3","1","1","3","3","1","2","3","1","1","3","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010548014","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0548","014","60","33","27","9","15.0","5","8.33","33","55.0","13","21.67","-1","3.33","15.06","13.9","16.59","35","35","100.0","27","77.14","8","22.86","2.22","0.53","0","0.0","27","100.0","27","100.0","27","100.0","27","100.0","1","1","1","1","1","3","2","2","2","3","1","1","2","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600011052029","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","1052","029","49","28","21","8","16.33","13","26.53","20","40.82","8","16.33","0","0.0","14.39","14.21","14.65","17","17","100.0","15","88.24","-1","11.76","3.27","0.5","0","0.0","15","100.0","15","100.0","15","100.0","15","100.0","1","3","1","1","1","3","3","1","2","3","1","2","3","3","3","3","3","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010800023","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0800","023","54","26","28","11","20.37","11","20.37","31","57.41","-1","-1.0","-1","-1.0","14.26","13.7","14.74","20","20","100.0","17","85.0","3","15.0","3.18","0.81","0","0.0","17","100.0","17","100.0","17","100.0","17","100.0","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","2020","2020"
"0901600010603025","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0603","025","76","37","39","8","10.53","20","26.32","34","44.74","14","18.42","4","5.26","14.54","14.72","14.34","36","36","100.0","30","83.33","6","16.67","2.53","0.64","0","0.0","30","100.0","30","100.0","30","100.0","30","100.0","1","2","2","1","1","3","3","1","1","2","1","1","2","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010783028","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0783","028","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","3","2","3","1","3","3","3","3","3","1","2","3","3","3","3","3","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010995021","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0995","021","75","43","32","-1","2.67","15","20.0","36","48.0","22","29.33","9","12.0","12.66","12.05","13.44","29","29","100.0","27","93.1","-1","6.9","2.78","0.63","0","0.0","27","100.0","27","100.0","27","100.0","27","100.0","1","1","1","1","1","3","3","1","2","3","2","2","3","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
