kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,0.0,,,,85.68742920268893,,,,,0.0,,2.0,
I,1.0,,,,51.05322493576883,,,,,1.0,,0.0,
I,2.0,,,,71.8989616048353,,,,,3.0,,0.0,
I,3.0,,,,73.82971121349009,,,,,4.0,,4.0,
I,4.0,,,,57.944502782018766,,,,,5.0,,3.0,
I,5.0,,,,33.93527782251907,,,,,6.0,,2.0,
I,6.0,,,,45.470365827425915,,,,,7.0,,2.0,
I,7.0,,,,30.519072206752853,,,,,8.0,,0.0,
I,8.0,,,,46.119042293073605,,,,,10.0,,0.0,
I,9.0,,,,360.7150261974875,,,,,11.0,,0.0,
I,10.0,,,,125.14841574822097,,,,,12.0,,2.0,
I,11.0,,,,179.68417970283997,,,,,13.0,,0.0,
I,12.0,,,,27.21326740595407,,,,,16.0,,0.0,
I,13.0,,,,4.766457727016288,,,,,18.0,,0.0,
I,14.0,,,,27.043139260406313,,,,,19.0,,4.0,
I,15.0,,,,252.37025351043073,,,,,20.0,,0.0,
I,16.0,,,,148.57800300207018,,,,,21.0,,0.0,
I,17.0,,,,80.98300541612669,,,,,22.0,,0.0,
I,18.0,,,,2.8683146812974214,,,,,23.0,,0.0,
I,19.0,,,,72.86862096427306,,,,,24.0,,4.0,
I,20.0,,,,118.38651111376707,,,,,25.0,,0.0,
I,21.0,,,,88.60031972233118,,,,,26.0,,0.0,
I,22.0,,,,66.55860919452735,,,,,27.0,,0.0,
I,23.0,,,,53.755110677237376,,,,,28.0,,2.0,
I,24.0,,,,206.75748308999465,,,,,29.0,,2.0,
I,25.0,,,,49.66503099550305,,,,,30.0,,1.0,
I,26.0,,,,505.8287807102884,,,,,31.0,,1.0,
I,27.0,,,,37.36048779726954,,,,,33.0,,0.0,
I,28.0,,,,115.40479020569472,,,,,35.0,,1.0,
I,29.0,,,,52.49034371735737,,,,,36.0,,3.0,
I,30.0,,,,7.634817295119182,,,,,37.0,,1.0,
I,31.0,,,,345.92538291944265,,,,,38.0,,1.0,
I,32.0,,,,1326.1524736670528,,,,,39.0,,0.0,
I,33.0,,,,70.59219241646782,,,,,40.0,,4.0,
I,34.0,,,,217.9772737414367,,,,,41.0,,0.0,
I,35.0,,,,46.92491627498117,,,,,42.0,,4.0,
I,36.0,,,,9.577693299701927,,,,,43.0,,1.0,
I,37.0,,,,67.68550259365371,,,,,44.0,,2.0,
I,38.0,,,,10.146137669782334,,,,,45.0,,2.0,
I,39.0,,,,123.79332108591188,,,,,46.0,,2.0,
I,40.0,,,,21.357052149805686,,,,,48.0,,1.0,
I,41.0,,,,171.22445152757996,,,,,49.0,,0.0,
I,42.0,,,,115.37040575504959,,,,,50.0,,0.0,
I,43.0,,,,158.48234159527118,,,,,51.0,,2.0,
I,44.0,,,,101.00864191307112,,,,,53.0,,1.0,
I,45.0,,,,7.6289946415780285,,,,,55.0,,1.0,
I,46.0,,,,14.129099057964549,,,,,56.0,,0.0,
I,47.0,,,,77.3365198953051,,,,,57.0,,0.0,
I,48.0,,,,178.82967799000232,,,,,58.0,,0.0,
I,49.0,,,,6.677728271571323,,,,,59.0,,3.0,
I,50.0,,,,164.6738736976682,,,,,60.0,,1.0,
I,51.0,,,,108.9658288192179,,,,,61.0,,1.0,
I,52.0,,,,165.73468499428495,,,,,62.0,,1.0,
I,53.0,,,,49.06757912749828,,,,,63.0,,1.0,
I,54.0,,,,3.817408647559591,,,,,64.0,,1.0,
I,55.0,,,,37.998364938818966,,,,,65.0,,1.0,
I,56.0,,,,56.06768623758745,,,,,67.0,,2.0,
I,57.0,,,,104.273458540297,,,,,68.0,,2.0,
I,58.0,,,,11.471306266086494,,,,,71.0,,4.0,
I,59.0,,,,34.57029156302458,,,,,73.0,,4.0,
I,60.0,,,,145.22870826742877,,,,,74.0,,0.0,
I,61.0,,,,148.99670154946,,,,,75.0,,1.0,
I,62.0,,,,269.5684472076607,,,,,76.0,,4.0,
I,63.0,,,,36.249368087776986,,,,,77.0,,3.0,
I,64.0,,,,2.859705989578499,,,,,78.0,,2.0,
I,65.0,,,,54.68682578981591,,,,,79.0,,3.0,
I,66.0,,,,36.81850022741819,,,,,80.0,,1.0,
I,67.0,,,,463.8626135799641,,,,,81.0,,4.0,
I,68.0,,,,29.837753577092627,,,,,82.0,,0.0,
I,69.0,,,,44.05191248201018,,,,,83.0,,4.0,
I,70.0,,,,37.97787442039258,,,,,84.0,,1.0,
I,71.0,,,,111.2892518691163,,,,,85.0,,3.0,
I,72.0,,,,58.29986944519621,,,,,86.0,,1.0,
I,73.0,,,,220.98831026811217,,,,,87.0,,3.0,
I,74.0,,,,17.710123065919614,,,,,88.0,,3.0,
I,75.0,,,,258.37779859024283,,,,,89.0,,4.0,
I,76.0,,,,43.5057111639282,,,,,90.0,,1.0,
I,77.0,,,,188.12644489695464,,,,,91.0,,3.0,
I,78.0,,,,51.16459038910492,,,,,92.0,,1.0,
I,79.0,,,,157.99119039302275,,,,,93.0,,1.0,
I,80.0,,,,87.00497517370394,,,,,94.0,,0.0,
I,81.0,,,,74.99702739402107,,,,,95.0,,2.0,
I,82.0,,,,109.46183646728974,,,,,96.0,,4.0,
I,83.0,,,,91.98470540291105,,,,,99.0,,0.0,
I,84.0,,,,40.879830262325896,,,,,100.0,,1.0,
I,85.0,,,,85.81681420676723,,,,,101.0,,1.0,
I,86.0,,,,50.58088678641645,,,,,102.0,,3.0,
I,87.0,,,,97.61973361685705,,,,,103.0,,0.0,
I,88.0,,,,33.36242742918753,,,,,104.0,,1.0,
I,89.0,,,,288.7257021729865,,,,,105.0,,0.0,
I,90.0,,,,86.1805232649458,,,,,106.0,,0.0,
I,91.0,,,,641.3190843802977,,,,,108.0,,2.0,
I,92.0,,,,81.05845043414067,,,,,109.0,,0.0,
I,93.0,,,,76.02079099303486,,,,,111.0,,3.0,
I,94.0,,,,49.755051580670994,,,,,112.0,,0.0,
I,95.0,,,,27.432340020388335,,,,,114.0,,4.0,
I,96.0,,,,6.092387150393412,,,,,115.0,,2.0,
I,97.0,,,,63.333600971752965,,,,,116.0,,2.0,
I,98.0,,,,53.38612567915918,,,,,120.0,,1.0,
I,99.0,,,,157.2077354491479,,,,,121.0,,0.0,
I,100.0,,,,40.06551677807465,,,,,122.0,,0.0,
I,101.0,,,,24.830218798837524,,,,,123.0,,1.0,
I,102.0,,,,29.895979807116785,,,,,124.0,,1.0,
I,103.0,,,,38.501760134451224,,,,,126.0,,1.0,
I,104.0,,,,78.77840746675855,,,,,127.0,,3.0,
I,105.0,,,,61.127171450604536,,,,,129.0,,0.0,
I,106.0,,,,8.427555460706454,,,,,130.0,,3.0,
I,107.0,,,,479.08282542084527,,,,,131.0,,3.0,
I,108.0,,,,467.7894014497364,,,,,132.0,,1.0,
I,109.0,,,,9.968763703048358,,,,,133.0,,2.0,
I,110.0,,,,289.5764528016946,,,,,134.0,,3.0,
I,111.0,,,,122.68627646465005,,,,,135.0,,1.0,
I,112.0,,,,75.94119756590865,,,,,136.0,,2.0,
I,113.0,,,,67.42266785355423,,,,,137.0,,0.0,
I,114.0,,,,38.80784092662428,,,,,138.0,,2.0,
I,115.0,,,,74.31267484691125,,,,,139.0,,0.0,
I,116.0,,,,51.2323117469085,,,,,140.0,,3.0,
I,117.0,,,,151.9468748749718,,,,,141.0,,2.0,
I,118.0,,,,20.87160279836401,,,,,142.0,,0.0,
I,119.0,,,,94.55340488236509,,,,,144.0,,1.0,
I,120.0,,,,30.571166135892913,,,,,146.0,,0.0,
I,121.0,,,,145.65703636913494,,,,,147.0,,0.0,
I,122.0,,,,125.73621556556947,,,,,148.0,,4.0,
I,123.0,,,,90.59473187515034,,,,,149.0,,1.0,
I,124.0,,,,50.70049409674304,,,,,150.0,,0.0,
I,125.0,,,,78.9157940940878,,,,,151.0,,1.0,
I,126.0,,,,277.0044630498821,,,,,152.0,,4.0,
I,127.0,,,,96.66171119372314,,,,,153.0,,0.0,
I,128.0,,,,67.58297625781286,,,,,154.0,,2.0,
I,129.0,,,,40.08709161129839,,,,,155.0,,0.0,
I,130.0,,,,39.852713754756785,,,,,156.0,,0.0,
I,131.0,,,,26.505482866142707,,,,,157.0,,2.0,
I,132.0,,,,142.27866720706706,,,,,158.0,,0.0,
I,133.0,,,,13.899399370940573,,,,,159.0,,2.0,
I,134.0,,,,49.63850851255982,,,,,160.0,,0.0,
I,135.0,,,,32.29940426936802,,,,,161.0,,0.0,
I,136.0,,,,83.67288893711158,,,,,162.0,,2.0,
I,137.0,,,,135.02549141583438,,,,,163.0,,2.0,
I,138.0,,,,124.35901363215662,,,,,164.0,,1.0,
I,139.0,,,,64.35989164022622,,,,,165.0,,1.0,
I,140.0,,,,13.7667184411997,,,,,166.0,,0.0,
I,141.0,,,,64.08663425777246,,,,,167.0,,1.0,
I,142.0,,,,74.66200975513271,,,,,168.0,,1.0,
I,143.0,,,,42.90165054976241,,,,,169.0,,1.0,
