"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9452814","27004462112005702001008202S1","OXXO SUC 500B5 CANANEA VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","MÁRTIRES DE CANANEA","AVENIDA","MÁRTIRES DE RÍO BLANCO","ANDADOR","ANDADOR DEL ELECTRICISTA","ANDADOR","ANDADOR DEL ALFARERO","501",,,,,,"COLONIA","INDECO UNIDAD",,,,"86017","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","1204","023",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","18.01923212","-92.89942951","2024-05"
"9422748","27013462112000722101008202S5","OXXO SUC 501UC ALLEGRO VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CARRETERA","VILLAHERMOSA - COMALCALCO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO",,"SN",,,,,"LOCALIDAD","SALOYA 2DA SECCION",,,,"86240","27","TABASCO","013","Nacajuca","0030","Santa Rosa                                                                                                    ","0084","800",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","18.04152695","-92.93475735","2024-05"
"12321647","27004462112007071000008202S9","OXXO SUC 501Z5 PLAZA YAMAL VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","CORONEL GREGORIO MENDEZ MAGAÑA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","726",,,,,,"COLONIA","VILLAHERMOSA CENTRO",,,,"86000","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","009A","015",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","17.99354155","-92.91987208","2026-04"
"12321648","27004462112007081000008202S8","OXXO SUC 502TC MILAGROS VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CARRETERA","CARR. VILLAHERMOSA-COMALCALCO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"COLONIA","SALOYA 2DA SECCION",,,,"86247","27","TABASCO","004","Centro","0311","Los Sauces                                                                                                    ","2289","028",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","18.03226487","-92.92101626","2026-04"
"12321655","27004462112007091000008202S7","OXXO SUC 502TE CITY CENTER VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ANDADOR COLOMBIA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","207",,,,,,"COLONIA","ATASTA",,,,"86100","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","0916","038",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","17.99166605","-92.94658315","2026-04"
"9457910","27004462112005952001008202S2","OXXO SUC 502WX ARC VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","BOULEVARD","ADOLFO RUÍZ CORTINES","ANDADOR","NINGUNO","CALLE","NINGUNO","PRIVADA","CARLOS GREENE","2733",,,,,,"COLONIA","ATASTA",,,,"86100","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","1083","001",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","17.98711483","-92.95979781","2024-05"
"9397800","27004462112005922001008202S5","OXXO SUC 50469 VICENS VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ALFONSO VICENS SALDÍVAR","CALLE","PEPE DEL RIVERO","CALLE","UNO","ANDADOR","NINGUNO",,"SN",,,,,"COLONIA","GAVIOTAS NORTE",,,,"86067","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","1295","030",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","17.97701349","-92.9181289","2024-05"
"9395138","27004462112005932001008202S4","OXXO SUC 5047N ERNESTO MALDA VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ERNESTO MALDA","PRIVADA","PRIVADA DE LAS PALMAS","PRIVADA","SANTA TERESA","AVENIDA","CORONEL GREGORIO MÉNDEZ MAGAÑA",,"SN",,,,,"COLONIA","LINDAVISTA",,,,"86050","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","0140","020",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","17.99069145","-92.93926331","2024-05"
"6847513","27004462112004462001008202S3","OXXO SUC 50497 SAUCES VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","LA PERLA","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","LOS SAUCES",,,,"86029","27","TABASCO","004","Centro","0311","Los Sauces                                                                                                    ","2289","010",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","18.03688965","-92.91785154","2018-03"
"9462251","27013462112000692101008202S0","OXXO SUC 50629 PLAZA CEDROS VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","BOULEVARD","BICENTENARIO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO",,"SN",,,,,"COLONIA","BOSQUE DE SALOYA",,,,"86246","27","TABASCO","013","Nacajuca","0030","Santa Rosa                                                                                                    ","0084","800",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","18.0083927","-92.97662236","2024-05"
"11750587","27004462112006701000008202S2","OXXO SUC 5075D TORRE EMPRESARIAL VSA","CADENA COMERCIAL OXXO","462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","PASEO TABASCO","CIRCUITO","Benito Juárez García","BOULEVARD","Adolfo Ruíz Cortines","CIRCUITO","Ninguno","1203",,,,,,"COLONIA","LINDAVISTA",,,,"86050","27","TABASCO","004","Centro","0001","Villahermosa                                                                                                  ","0102","007",,,,"Fijo","17.99598443","-92.93898068","2025-04"
