"CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","NOM_LOC","CVE_AGEB","CVE_MZA","POBTOT","POBFEM","POBMAS","POB0_14","POB0_14_P","P15A29A","P15A29A_P","P30A59A","P30A59A_P","P_60YMAS","P_60YMAS_P","P_CD_T","P_CD_P","GRAPROES","GRAPROES_F","GRAPROES_M","VIVTOT","VIVPAR","VIVPAR_P","TVIPAHAB","TVIPAHAB_P","VIVNOHAB","VIVNOHAB_P","PROM_OCUP","PRO_OCUP_C","V3MASOCU","V3MASOCU_P","VPH_PIDT","VPH_PIDT_P","VPH_C_EL","VPH_C_EL_P","VPH_EXSA","VPH_EXSA_P","VPH_DREN","VPH_DREN_P","RECUCALL_C","RAMPAS_C","PASOPEAT_C","BANQUETA_C","GUARNICI_C","CICLOVIA_C","CICLOCAR_C","ALUMPUB_C","LETRERO_C","TELPUB_C","ARBOLES_C","DRENAJEP_C","TRANSCOL_C","ACESOPER_C","ACESOAUT_C","PUESSEMI_C","PUESAMBU_C","RECUCALL_D","RAMPAS_D","BANQUETA_D","GUARNICI_D","ALUMPUB_D","LETRERO_D","TELPUB_D","ARBOLES_D","DRENAJEP_D","TRANSCOL_D","ACESOPER_D","ACESOAUT_D","PUESSEMI_D","PUESAMBU_D","FECHA_POLI","FECHA_INF"
"2701300690262014","27","Tabasco","013","Nacajuca","0069","La Selva","0262","014","19","11","8","8","42.11","3","15.79","7","36.84","-1","5.26","0","0.0","8.45","8.25","9.0","9","9","100.0","7","77.78","-1","22.22","2.71","1.9","-1","28.57","4","57.14","7","100.0","7","100.0","7","100.0","1","3","3","3","3","3","3","2","3","3","2","3","3","3","3","3","3","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"2700400011929026","27","Tabasco","004","Centro","0001","Villahermosa","1929","026","90","45","45","21","23.33","22","24.44","38","42.22","9","10.0","9","10.0","9.58","9.82","9.34","32","32","100.0","26","81.25","6","18.75","3.46","1.29","0","0.0","25","96.15","26","100.0","26","100.0","26","100.0","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"2700400010511046","27","Tabasco","004","Centro","0001","Villahermosa","0511","046","56","34","22","14","25.0","18","32.14","19","33.93","5","8.93","-1","-1.0","9.86","9.52","10.35","16","16","100.0","14","87.5","-1","12.5","4.0","1.17","0","0.0","14","100.0","14","100.0","14","100.0","14","100.0","1","2","2","1","1","3","3","1","3","3","2","2","2","3","3","2","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Ninguna vialidad","2020","2020"
"2700400011308003","27","Tabasco","004","Centro","0001","Villahermosa","1308","003","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","2","3","2","2","3","3","2","3","2","2","2","2","2","2","2","2","Todas las vialidades","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en alguna vialidad","Restricción en alguna vialidad","Alguna vialidad","Alguna vialidad","2020","2020"
"2700400011492015","27","Tabasco","004","Centro","0001","Villahermosa","1492","015","80","52","28","19","23.75","17","21.25","28","35.0","16","20.0","4","5.0","12.7","12.29","13.39","25","25","100.0","24","96.0","-1","4.0","3.33","0.8","0","0.0","24","100.0","24","100.0","24","100.0","24","100.0","1","2","2","1","1","3","3","2","2","3","2","2","2","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"270130069021A007","27","Tabasco","013","Nacajuca","0069","La Selva","021A","007","82","44","38","13","15.85","18","21.95","30","36.59","5","6.1","-1","2.44","9.34","9.57","9.08","22","22","100.0","20","90.91","-1","9.09","4.1","0.96","0","0.0","16","80.0","16","80.0","16","80.0","16","80.0","1","3","3","1","1","3","3","3","3","3","2","1","2","3","3","3","3","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"2701300690205016","27","Tabasco","013","Nacajuca","0069","La Selva","0205","016","65","35","30","15","23.08","17","26.15","26","40.0","3","4.62","-1","-1.0","9.37","9.0","9.81","17","17","100.0","17","100.0","0","0.0","3.82","1.3","-1","11.76","16","94.12","16","94.12","16","94.12","16","94.12","2","3","3","2","2","3","3","2","3","3","3","2","3","3","3","3","3","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"2700400011079034","27","Tabasco","004","Centro","0001","Villahermosa","1079","034","20","13","7","-1","10.0","5","25.0","9","45.0","4","20.0","0","0.0","13.39","13.0","14.0","9","9","100.0","8","88.89","-1","11.11","2.5","0.53","0","0.0","8","100.0","8","100.0","8","100.0","8","100.0","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","2020","2020"
"2700400011666010","27","Tabasco","004","Centro","0001","Villahermosa","1666","010","50","31","19","17","34.0","10","20.0","21","42.0","-1","4.0","-1","-1.0","12.64","12.37","13.0","18","18","100.0","15","83.33","3","16.67","3.33","1.11","-1","13.33","15","100.0","15","100.0","15","100.0","15","100.0","1","3","3","2","2","3","3","2","3","3","2","3","3","3","3","3","3","Todas las vialidades","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Ninguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"2700400011238001","27","Tabasco","004","Centro","0001","Villahermosa","1238","001","33","20","13","-1","3.03","5","15.15","12","36.36","15","45.45","-1","3.03","15.25","14.35","16.75","13","13","100.0","12","92.31","-1","7.69","2.75","0.59","0","0.0","12","100.0","12","100.0","12","100.0","12","100.0","1","3","3","1","1","3","3","1","1","3","2","2","3","3","3","3","2","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Alguna vialidad","2020","2020"
