"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6781916","19039462112009381001000000S6","COMERCIO AL POR MENOR EN MINISÚPER","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas",,"Vía Málaga",,"VÍA ALCALÁ",,"NINGUNO",,"NINGUNO","3001",,,,"0",,"NINGUNO","MAS PALOMAS VALLE SANT",,,,"64780","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2186","007",,,,"Fijo","25.6345225","-100.28418212","2024-05"
"9330281","19019468411000311000000000U4","OXXO GAS","SERVICIOS GASOLINERAS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","0 a 5 personas","AVENIDA","LAZARO CARDENAS","CALLE","JOSEMARÍA ESCRIVÁ","CALLE","FRIDA KAHLO","CALLE","NINGUNO","2517","SN","PB","PLANTA BAJA",,,"COLONIA","RESIDENCIAL SAN AGUSTIN",,,"SN","66220","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0399","024",,"OGMTY3648@SEGAMEX.COM","WWW.OXXOGAS.COM","Fijo","25.64906284","-100.3297773","2020-11"
"6445105","19039468411002301001008448S1","OXXO GAS SUC 15 DE MAYO MTY 55DAN","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","AVENIDA","VENUSTIANO CARRANZA","CALLE","15 de Mayo","CALLE","Cholula","CALLE","Manuel Gutiérrez","480",,,,,,"COLONIA","MARIA LUISA",,,,"64040","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1652","037",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.67427452","-100.33275355","2014-12"
"6372629","19039468411001742001008448S7","OXXO GAS SUC 2 DE ABRIL 55SRL","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","2 DE ABRIL-JESÚS DIONISIO GONZÁLEZ","CALLE","Chiapas","CALLE","Sonora","CALLE","Libertad","1520",,,,,,"COLONIA","NUEVO REPUEBLO",,,,"64700","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1991","034",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.65721214","-100.30238376","2014-12"
"6234755","19039468411000973000008448S9","OXXO GAS SUC ALFAREROS MTY 525634","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","PASEO NARANJO","AVENIDA","Adolfo Laubner","ANDADOR","Ninguno","CALLE","Ninguno","1590",,,,,,"COLONIA","ALFAREROS",,,,"64753","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2468","025",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.63765153","-100.31190193","2010-07"
"6236114","19039468411001343000008448S4","OXXO GAS SUC ASARCO MTY 55ACV","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","ADOLFO PRIETO","CALLE","Francisco Márquez","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","Antonio Coello","450",,,,,,"COLONIA","OBRERA",,,,"64010","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2716","072",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.67702897","-100.29076658","2010-07"
"2937160","19039468411001993000008448S4","OXXO GAS SUC BOULEVARDACAPULCOMTY","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","BOULEVARD","ACAPULCO","CALLE","Puerto Vallarta","CALLE","Puerto San Blas","CALLE","Bahía de Vizcaíno","4600",,,,,,"NINGUNO","NINGUNO",,,,"64780","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2307","029",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.6223321","-100.28141586","2014-12"
"6234794","19039468411001403000008448S6","OXXO GAS SUC CALZ VICTORIA MTY 55JAK","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","AVENIDA","CUAUHTÉMOC","CALLE","Juan Guzmán","CALLE","Aquiles Serdán","CALLE","José Mariano Jiménez",,"SN",,,,,"COLONIA","CALZADA VICTORIA",,,,"64000","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1258","007",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.68888692","-100.3165953","2010-07"
"6217114","19039468411000452000008448S0","OXXO GAS SUC CD DEPORTIVA MTY 55ADR","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALZADA","PROLONGACIÓN MADERO","CALLE","Santa Catarina","AVENIDA","Churubusco","CALLE","Jesús M. Garza","4345",,,,,,"NINGUNO","NINGUNO",,,,"64590","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","139A","012",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.6858725","-100.2687918","2010-07"
"6234957","19026468411000071000008448S9","OXXO GAS SUC CHAPULTEPEC MTY","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","AVENIDA","CHAPULTEPEC","CALLE","Valle de México","CALLE","Juventino Rosas","CALLE","Vallecillos","2700",,,,,,"COLONIA","VALLES DE CHAPULTEPEC",,,,"67147","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","1512","001",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.66623228","-100.26937944","2012-06"
