kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,0.0,,,,87.98371015941264,,,,,0.0,,3.0,
I,1.0,,,,120.37812306178435,,,,,1.0,,3.0,
I,2.0,,,,59.824947381595756,,,,,2.0,,2.0,
I,3.0,,,,41.53890164716615,,,,,3.0,,4.0,
I,4.0,,,,157.7675803326689,,,,,4.0,,1.0,
I,5.0,,,,42.055148402813145,,,,,5.0,,1.0,
I,6.0,,,,4.33523997764309,,,,,6.0,,1.0,
I,7.0,,,,107.73785732222179,,,,,7.0,,1.0,
I,8.0,,,,57.43366031215797,,,,,8.0,,2.0,
I,9.0,,,,159.88233445649814,,,,,9.0,,1.0,
I,10.0,,,,100.8677988430215,,,,,10.0,,5.0,
I,11.0,,,,142.3483273987152,,,,,11.0,,1.0,
I,12.0,,,,113.82200975079238,,,,,12.0,,1.0,
I,13.0,,,,21.659422439983803,,,,,15.0,,2.0,
I,14.0,,,,25.33428071526304,,,,,16.0,,0.0,
I,15.0,,,,24.971531143154685,,,,,17.0,,2.0,
I,16.0,,,,149.92043040218266,,,,,18.0,,0.0,
I,17.0,,,,119.53291085537641,,,,,19.0,,3.0,
I,18.0,,,,110.86001112793657,,,,,20.0,,4.0,
I,19.0,,,,38.188859390354686,,,,,21.0,,0.0,
I,20.0,,,,72.63401558460222,,,,,22.0,,0.0,
I,21.0,,,,46.43349586781515,,,,,23.0,,2.0,
I,22.0,,,,152.40617684187256,,,,,24.0,,2.0,
I,23.0,,,,65.26270770962324,,,,,25.0,,0.0,
I,24.0,,,,41.02916345237066,,,,,26.0,,1.0,
I,25.0,,,,111.76538178926869,,,,,27.0,,0.0,
I,26.0,,,,39.54027336884052,,,,,28.0,,1.0,
I,27.0,,,,58.79856523369483,,,,,29.0,,3.0,
I,28.0,,,,0.0,,,,,30.0,,5.0,
I,29.0,,,,26.199577610146008,,,,,31.0,,1.0,
I,30.0,,,,109.49388989586323,,,,,32.0,,1.0,
I,31.0,,,,119.36284627278116,,,,,34.0,,1.0,
I,32.0,,,,65.13016215753154,,,,,35.0,,1.0,
I,33.0,,,,70.33825632188027,,,,,36.0,,1.0,
I,34.0,,,,80.13214621158599,,,,,37.0,,0.0,
I,35.0,,,,0.0,,,,,40.0,,2.0,
I,36.0,,,,29.555519471926964,,,,,42.0,,0.0,
I,37.0,,,,66.48449951494729,,,,,43.0,,3.0,
I,38.0,,,,27.706175633464618,,,,,44.0,,0.0,
I,39.0,,,,18.585088640274495,,,,,45.0,,3.0,
I,40.0,,,,3.8194692868010782,,,,,46.0,,1.0,
I,41.0,,,,73.67221566923305,,,,,47.0,,2.0,
I,42.0,,,,66.03449327690373,,,,,48.0,,2.0,
I,43.0,,,,72.4149558093775,,,,,49.0,,4.0,
I,44.0,,,,68.709904665926,,,,,50.0,,5.0,
