i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
0,0.0,0.0,0,2,19.434989907555572,-99.13756474727295,2,522.6965152715053,19.434989907555572,-99.13756474727295,2.0
25,1.0,0.0,0,2,19.433678891057856,-99.14235706562222,2,181.00740137486653,19.433678891057856,-99.14235706562222,2.0
71,3.0,0.0,0,2,19.424367353626543,-99.14427433912135,2,92.81267059533975,19.424367353626543,-99.14427433912135,2.0
78,5.0,39.9845002860884,0,2,19.425957863233297,-99.1392046891402,2,230.95979835504622,19.42597509321103,-99.1399538805113,2.0
85,155.0,0.0,0,2,19.419332194223493,-99.1375610573659,2,809.7297106510412,19.419332194223493,-99.1375610573659,2.0
87,77.0,316.59151025093894,0,2,19.438518878528807,-99.1365363495823,2,33.939168577290005,19.43732576153278,-99.13432135576163,2.0
95,88.0,94.40376939939638,0,2,19.430209486190194,-99.13778405924855,2,107.29561331048662,19.431880090712017,-99.13753698628585,2.0
98,29.0,165.15300482360908,0,2,19.43647253442285,-99.13423856591703,2,119.40809341110307,19.436603996304683,-99.13526722631958,2.0
99,21.0,63.098426928307326,0,2,19.422067836571888,-99.14606917999,2,151.36635441501372,19.42267863436745,-99.14504233766738,2.0
101,874.0,132.95555031039066,0,2,19.418133522347638,-99.13889888431588,2,7.265310165178642,19.418234798868586,-99.14004459987689,2.0
103,5.0,0.0,0,2,19.42597509321103,-99.1399538805113,2,70.95158543225759,19.42597509321103,-99.1399538805113,2.0
110,7.0,0.0,0,2,19.4288353512313,-99.13438355146529,2,59.4591139314567,19.4288353512313,-99.13438355146529,2.0
121,10.0,0.0,0,2,19.43301433697437,-99.1378673870394,2,3.818103512383101,19.43301433697437,-99.1378673870394,2.0
127,874.0,67.92640292679482,0,2,19.419176270370397,-99.13935574512,2,29.47731382871599,19.418234798868586,-99.14004459987689,2.0
142,11.0,0.0,0,2,19.43163351366527,-99.14175437163476,2,203.92361510524896,19.43163351366527,-99.14175437163476,2.0
155,5.0,252.8719336710783,0,2,19.42767698634345,-99.13940394574254,2,20.269431185703795,19.42597509321103,-99.1399538805113,2.0
157,85.0,71.78380758342578,0,2,19.429468737080605,-99.14271522995584,2,376.140965983696,19.430106393486373,-99.14262576698327,2.0
162,53.0,160.02999316862173,0,2,19.42327358166853,-99.14493305436822,2,619.2586980806063,19.42289546765246,-99.14483921024669,2.0
206,155.0,0.0,0,2,19.418625275916053,-99.13712156705176,2,157.42624317945464,19.419332194223493,-99.1375610573659,2.0
209,5.0,335.25412680040677,0,2,19.426142307966508,-99.14114642537741,2,266.02665528296444,19.42597509321103,-99.1399538805113,2.0
217,5.0,158.98129727692728,0,2,19.42677039533329,-99.13833468563897,2,149.98546140264128,19.42597509321103,-99.1399538805113,2.0
222,332.0,239.16401359526392,0,2,19.42667259217987,-99.14176555289202,2,359.75893566189615,19.427507322836643,-99.14298427965458,2.0
229,40.0,322.6765495082015,0,2,19.433917039433897,-99.14384040190767,2,94.07024112702004,19.435542392634026,-99.1467445171365,9.0
230,85.0,100.50895519633994,0,2,19.430958000816,-99.14291142200099,2,38.84898858558274,19.430106393486373,-99.14262576698327,2.0
231,1.0,171.8228642326282,0,2,19.43304222883075,-99.14358588857748,2,264.4796713001396,19.433678891057856,-99.14235706562222,2.0
236,13.0,340.8323228270224,0,2,19.424450015121458,-99.14714425268077,2,73.31877092599817,19.42180174434837,-99.14887036775616,3.0
238,75.0,209.28376681811034,0,2,19.428109828839563,-99.14071060041199,2,42.34777936313593,19.43053520710712,-99.14006721304035,2.0
247,874.0,199.64554237607967,0,2,19.420002751165907,-99.13954052482427,2,25.298297529032542,19.418234798868586,-99.14004459987689,2.0
250,66.0,223.6830052866859,0,2,19.421793708866897,-99.14182251843248,2,2.817744320838698,19.421756937610432,-99.14055650193673,2.0
256,75.0,59.09217867643866,0,2,19.429415657634692,-99.13944291816227,2,97.66937542433642,19.43053520710712,-99.14006721304035,2.0
269,332.0,0.0,0,2,19.427507395795995,-99.14341752198388,2,236.3877839343703,19.427507322836643,-99.14298427965458,2.0
271,764.0,60.18025839268643,0,2,19.430751691576162,-99.13556228093582,2,61.589925486267376,19.431549716636383,-99.13488795533857,2.0
278,,,1,2,19.42023105908758,-99.13694151390365,2,6.366908572457099,,,
291,7.0,185.6890568328715,0,2,19.429013789742587,-99.13589179108796,2,242.6474156662343,19.4288353512313,-99.13438355146529,2.0
295,,,1,2,19.427615587647267,-99.13825155741296,2,108.16799386107448,,,
298,,,1,2,19.42296386950643,-99.1489268925077,2,47.603095205325594,,,
305,21.0,0.0,0,2,19.42267863436745,-99.14504233766738,2,184.8150666859972,19.42267863436745,-99.14504233766738,2.0
312,65.0,186.01490242567886,0,2,19.43440202341907,-99.1353092868669,2,386.72851770380754,19.433854572457324,-99.13669465420303,2.0
313,19.0,129.09253057274287,0,2,19.432629239224102,-99.14314801216648,2,115.00610838699914,19.43244158324901,-99.14164960383665,2.0
322,84.0,318.29306172478005,0,2,19.419612040779132,-99.14392271495441,2,13.520972621491845,19.419796973277332,-99.14496126430696,3.0
338,80.0,92.16200835772453,0,2,19.43316910072729,-99.13892570411211,2,4.489052386217048,19.43207779645688,-99.1390749151222,2.0
339,78.0,177.285062860869,0,2,19.434842007195833,-99.13557688695354,2,656.6310234825614,19.435753598928134,-99.1353941642993,2.0
347,874.0,352.5857932795931,0,2,19.419053597944043,-99.14112204016524,2,3.350467657065226,19.418234798868586,-99.14004459987689,2.0
363,7.0,173.19139038883333,0,2,19.42795882083386,-99.1345098616584,2,123.18416227121143,19.4288353512313,-99.13438355146529,2.0
364,34.0,214.17080643209087,0,2,19.421009186056313,-99.14480311055972,2,530.9580433938479,19.422958811544735,-99.14446110585403,2.0
365,332.0,0.0,0,2,19.427507322836643,-99.14298427965458,2,185.2932166487564,19.427507322836643,-99.14298427965458,2.0
378,7.0,256.6345194753498,0,2,19.4264192141232,-99.13474425449849,2,54.1765843369564,19.4288353512313,-99.13438355146529,2.0
386,3.0,208.64898698842237,0,2,19.425735801667592,-99.1427350570357,2,363.48839184761977,19.424367353626543,-99.14427433912135,2.0
395,77.0,152.0553764361677,0,2,19.43744280413783,-99.13513737024995,2,203.52772825854467,19.43732576153278,-99.13432135576163,2.0
409,5.0,234.32599910466118,0,2,19.42737557103855,-99.13985990765627,2,19.762581567352413,19.42597509321103,-99.1399538805113,2.0
444,34.0,18.08371134812946,0,2,19.421967392630346,-99.1446241524958,2,4.70484296442474,19.422958811544735,-99.14446110585403,2.0
463,66.0,200.47243599370682,0,2,19.4216621558969,-99.13819928345643,2,53.98771262181597,19.421756937610432,-99.14055650193673,2.0
464,764.0,157.42543557587993,0,2,19.430549095875524,-99.1340903360943,2,37.74754951516701,19.431549716636383,-99.13488795533857,2.0
470,552.0,230.40131019494032,0,2,19.431463931389917,-99.14467254833971,2,59.41089856463005,19.43139103971678,-99.14594365359412,2.0
487,81.0,150.4015694405661,0,2,19.42318410407352,-99.13734366042164,2,0.7098169168730868,19.423316641440316,-99.13534122947749,2.0
514,78.0,177.285062860869,0,2,19.434586184353783,-99.13447227177906,2,54.26436495025339,19.435753598928134,-99.1353941642993,2.0
515,66.0,136.2461068146225,0,2,19.42065222983769,-99.14111508066625,2,7.886879721000445,19.421756937610432,-99.14055650193673,2.0
517,66.0,358.4301603365133,0,2,19.42051315939767,-99.14254374965543,2,288.5741408199134,19.421756937610432,-99.14055650193673,2.0
528,11.0,93.83132721313163,0,2,19.430807928379075,-99.14188421982688,2,59.544821447811294,19.43163351366527,-99.14175437163476,2.0
531,85.0,31.243844445669488,0,2,19.42998080469192,-99.14308578837311,2,300.52812858634405,19.430106393486373,-99.14262576698327,2.0
538,155.0,350.32090976328004,0,2,19.419094171027133,-99.13507574259727,2,195.27707529315418,19.419332194223493,-99.1375610573659,2.0
545,53.0,160.02999316862173,0,2,19.42349450198291,-99.14464245942024,2,139.03716721295598,19.42289546765246,-99.14483921024669,2.0
551,,,1,2,19.42974768534993,-99.14730081950529,2,6.344136803303342,,,
561,19.0,192.7384510435749,0,2,19.432596842949778,-99.14256116016057,2,47.14274897684684,19.43244158324901,-99.14164960383665,2.0
563,66.0,250.84075883698205,0,2,19.42109765329106,-99.14249504491767,2,6.723783821279259,19.421756937610432,-99.14055650193673,2.0
581,66.0,146.65391626880898,0,2,19.42166353025831,-99.13875187571219,2,92.01368050322553,19.421756937610432,-99.14055650193673,2.0
589,5.0,94.29997638857392,0,2,19.425709497341956,-99.1388506309163,2,89.9459491016461,19.42597509321103,-99.1399538805113,2.0
594,332.0,316.3880349791724,0,2,19.42816091028146,-99.14153529443159,2,333.24331489190456,19.427507322836643,-99.14298427965458,2.0
602,0.0,292.470397559707,0,2,19.435258405680212,-99.13961191708816,2,34.79426181420735,19.434989907555572,-99.13756474727295,2.0
609,332.0,281.6005921136149,0,2,19.428509489413923,-99.14223645793561,2,77.24425917744041,19.427507322836643,-99.14298427965458,2.0
616,38.0,0.0,0,2,19.435968395160277,-99.13691815548624,2,103.13406514581149,19.435968395160277,-99.13691815548624,2.0
622,81.0,92.60890482946665,0,2,19.423647178907505,-99.13633270945232,2,315.01198931416815,19.423316641440316,-99.13534122947749,2.0
640,66.0,260.4112553671633,0,2,19.420791793367137,-99.13888389458634,2,143.82081238471577,19.421756937610432,-99.14055650193673,2.0
