cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value
0,7,176,92,0.5227272727272727,221.15304606404678,213.61872683695543,56362850.18145149
1,7,174,120,0.6896551724137931,243.8194966736812,235.3036023439838,31304128.923685193
2,7,168,160,0.9523809523809523,153.80809719452944,154.2673410216221,6740815.235416302
3,7,155,150,0.967741935483871,166.18096365193355,150.43041715031694,9938981.864151597
4,7,138,135,0.9782608695652174,193.0979831287614,175.53207487019176,6064950.227256119
5,7,130,102,0.7846153846153846,209.94324812330356,186.30244020981002,15432664.746730762
6,7,121,109,0.9008264462809917,185.50457121366415,185.83899350381563,8676412.686206982
7,7,112,112,1.0,162.22305915729723,152.3619319042264,3316491.1012335615
8,7,108,100,0.9259259259259259,218.30801916006982,210.4237948972668,5689469.818973989
9,7,91,85,0.9340659340659341,188.35318046661675,156.45852823677998,4518519.219529597
10,7,77,75,0.974025974025974,168.8451798655287,145.84013447675673,4482928.207090216
