id,lat,lon,cluster,opened,cluster_solved
147,18.002272096205825,-92.91343951839164,0,1,0
206,17.993123477339605,-92.9224913629598,0,1,0
632,17.99992408069563,-92.90813586253617,0,1,0
638,17.998232165011082,-92.92623548755437,0,1,0
1060,18.008075142035697,-92.90354226759457,0,1,0
1800,17.991819168471313,-92.93714052659746,0,1,0
2158,17.997410717517162,-92.92804998823645,0,1,0
996,17.979702014528215,-92.95867246593549,1,1,1
1042,17.987599851995494,-92.94549762565083,1,1,1
1475,17.99089781105062,-92.95588249777786,1,1,1
2027,17.9774005104954,-92.95618499702512,1,1,1
2061,17.980244779772534,-92.95379610936791,1,1,1
2133,17.997941327800124,-92.95630222691028,1,1,1
2188,17.973114200536855,-92.95218064783698,1,1,1
311,17.983326504338304,-92.90635889458524,2,1,2
798,17.980926739568876,-92.91125049728021,2,1,2
963,17.978218789918003,-92.9166905130994,2,1,2
1261,17.97607899071451,-92.90893843080529,2,1,2
1547,17.982278501803048,-92.91857727855385,2,1,2
1833,17.99489818311808,-92.90849083409381,2,1,2
2328,17.97367465854504,-92.90478896257713,2,1,2
410,18.013760157241343,-92.89821768754145,3,1,3
435,18.022411376150387,-92.89966598272056,3,1,3
458,18.027687660966254,-92.89752785140747,3,1,3
542,18.024023592630325,-92.89536084513004,3,1,3
1432,18.018626737719142,-92.89886082429734,3,1,3
1664,18.025535507183815,-92.89985877683468,3,1,3
2204,18.02098682799758,-92.90458760309893,3,1,3
272,18.026071279588425,-92.91488875580153,4,1,4
572,18.02373839011213,-92.94191924079878,4,1,4
639,18.01932942881047,-92.93534772510812,4,1,4
1090,18.019736487121783,-92.92244698018023,4,1,4
1202,18.02627511642947,-92.91784651718636,4,1,4
1570,18.00962859281792,-92.92424066121012,4,1,4
1878,18.0216347438369,-92.91645435246768,4,1,4
322,18.006412097902924,-92.93506120215284,5,1,5
339,18.014731601059758,-92.94725348884562,5,1,5
615,18.003875927537138,-92.93836853355899,5,1,5
1304,18.012377877805196,-92.94069832188343,5,1,5
1364,18.014266957403557,-92.95847600442134,5,1,5
1535,18.0046695132665,-92.9404999056337,5,1,5
1697,18.012320110939108,-92.95139500455784,5,1,5
