i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
2,,,1,5,18.009165133892367,-92.93789880423967,5,71.8989616048353,,,
7,204.0,348.16986893583675,0,5,18.00762996796077,-92.93167257989103,5,30.519072206752853,18.006412097902924,-92.93506120215284,5.0
41,370.0,40.35172400557142,0,5,18.004202410224806,-92.93821401817203,5,171.22445152757996,18.003875927537138,-92.93836853355899,5.0
48,,,1,5,18.009334122748978,-92.94213294015347,5,178.82967799000232,,,
50,,,1,5,18.012948286232767,-92.94922763728285,5,164.6738736976682,,,
52,747.0,85.40074146864674,0,5,18.014036454349657,-92.95716341323612,5,165.73468499428495,18.014266957403557,-92.95847600442134,5.0
60,718.0,255.29004566080334,0,5,18.012400559802636,-92.93912480072619,5,145.22870826742877,18.012377877805196,-92.94069832188343,5.0
68,370.0,334.7600359757117,0,5,18.001192629322478,-92.93820954536017,5,29.837753577092627,18.003875927537138,-92.93836853355899,5.0
70,,,1,5,18.011554962147727,-92.94777837482532,5,37.97787442039258,,,
75,212.0,8.42732066084325,0,5,18.01487184840116,-92.94729842632144,5,258.37779859024283,18.014731601059758,-92.94725348884562,5.0
88,,,1,5,18.001813309599715,-92.94009516896328,5,33.36242742918753,,,
102,,,1,5,18.01527859708442,-92.95285014868112,5,29.895979807116785,,,
134,718.0,158.97378328572574,0,5,18.01227687705773,-92.93942980489841,5,49.63850851255982,18.012377877805196,-92.94069832188343,5.0
140,,,1,5,18.00862054588589,-92.94131401621638,5,13.7667184411997,,,
158,370.0,307.148265204875,0,5,18.00488840772004,-92.93886176850722,5,181.4454325362974,18.003875927537138,-92.93836853355899,5.0
184,204.0,149.64891800589086,0,5,18.0065417007932,-92.9344103647338,5,35.82542784248425,18.006412097902924,-92.93506120215284,5.0
186,,,1,5,18.009674116895205,-92.93868828991982,5,59.649728975999594,,,
204,718.0,342.89329272233056,0,5,18.01569818667977,-92.93953736555234,5,61.386027154196164,18.012377877805196,-92.94069832188343,5.0
216,212.0,103.12070429780526,0,5,18.01417778160522,-92.94734536157164,5,98.5361061591431,18.014731601059758,-92.94725348884562,5.0
217,,,1,5,18.004290850906283,-92.94087816642477,5,117.91915177668193,,,
