i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
1,135.0,157.02779384160476,0,0,17.994097925646162,-92.92388583532825,0,51.05322493576883,17.993123477339605,-92.9224913629598,0.0
2,,,1,0,18.009165133892367,-92.93789880423967,0,71.8989616048353,,,
7,,,1,0,18.00762996796077,-92.93167257989103,0,30.519072206752853,,,
8,,,1,0,17.990148300499623,-92.92621912611337,0,46.119042293073605,,,
9,12.0,316.95583492730896,0,0,17.974471879618527,-92.93274929696767,0,360.7150261974875,17.971971100901694,-92.93366073949416,0.0
11,102.0,126.49281594916212,0,0,18.004223389324572,-92.91550786478201,0,179.68417970283997,18.002272096205825,-92.91343951839164,0.0
12,,,1,0,17.975015726446642,-92.92677362716674,0,27.21326740595407,,,
13,135.0,30.614411229313486,0,0,17.993698458882655,-92.92322326661656,0,4.766457727016288,17.993123477339605,-92.9224913629598,0.0
15,,,1,0,18.00950238804576,-92.89761480164474,0,252.37025351043073,,,
16,,,1,0,17.984944994017933,-92.92703113758829,0,148.57800300207018,,,
17,,,1,0,17.980419204442224,-92.9267252098928,0,80.98300541612669,,,
18,,,1,0,17.999865468574196,-92.93029736918555,0,2.8683146812974214,,,
20,,,1,0,17.988652176128408,-92.92462723458348,0,118.38651111376707,,,
21,378.0,245.24775245680124,0,0,18.001543521373677,-92.90685531959274,0,88.60031972233118,17.99992408069563,-92.90813586253617,0.0
22,,,1,0,17.990753454455994,-92.91999447037654,0,66.55860919452735,,,
27,,,1,0,17.988231699649727,-92.92569481234618,0,37.36048779726954,,,
32,595.0,234.85312694899127,0,0,18.00898394050492,-92.90412180826084,0,1326.1524736670528,18.008075142035697,-92.90354226759457,0.0
34,14.0,297.3305052008997,0,0,17.991812475141828,-92.91869590672,0,217.9772737414367,17.992182627530042,-92.91670514659675,0.0
41,621.0,0.0,0,0,18.004202410224806,-92.93821401817203,0,171.22445152757996,18.004532311953337,-92.93805880980814,0.0
42,,,1,0,17.98148582762353,-92.9242815993622,0,115.37040575504959,,,
46,,,1,0,17.976503974643858,-92.93704509285418,0,14.129099057964549,,,
47,,,1,0,17.981866818648463,-92.93154650909887,0,77.3365198953051,,,
48,,,1,0,18.009334122748978,-92.94213294015347,0,178.82967799000232,,,
60,718.0,255.29004566080334,0,0,18.012400559802636,-92.93912480072619,0,145.22870826742877,18.012377877805196,-92.94069832188343,0.0
68,,,1,0,18.001192629322478,-92.93820954536017,0,29.837753577092627,,,
80,,,1,0,17.98693580300397,-92.9268829781558,0,87.00497517370394,,,
83,378.0,129.45621503923945,0,0,18.001111934900003,-92.90828084558439,0,91.98470540291105,17.99992408069563,-92.90813586253617,0.0
87,135.0,326.0820282113645,0,0,17.995153193602306,-92.92558262415136,0,97.61973361685705,17.993123477339605,-92.9224913629598,0.0
89,,,1,0,17.986809781032505,-92.934871354136,0,288.7257021729865,,,
90,,,1,0,17.97410541809473,-92.9385026636347,0,86.1805232649458,,,
92,102.0,160.75789102289104,0,0,18.002161099179524,-92.9140962322219,0,81.05845043414067,18.002272096205825,-92.91343951839164,0.0
94,,,1,0,18.011216047020593,-92.90456819678424,0,49.755051580670994,,,
99,,,1,0,17.978840755551083,-92.93318944087656,0,157.2077354491479,,,
100,1168.0,206.41332857333197,0,0,17.99860394125825,-92.92907858165354,0,40.06551677807465,17.997410717517162,-92.92804998823645,0.0
105,,,1,0,17.982245168678137,-92.93439957907391,0,61.127171450604536,,,
113,,,1,0,18.013926307669838,-92.90665422233842,0,67.42266785355423,,,
115,1.0,248.38750468301635,0,0,17.98800004261042,-92.91768681059229,0,74.31267484691125,17.987300439175495,-92.91925255753928,0.0
118,2.0,82.72667160069629,0,0,17.990130649384955,-92.91604097268913,0,20.87160279836401,17.990897348730915,-92.91627148564557,0.0
120,,,1,0,18.0005564815867,-92.91587255255057,0,30.571166135892913,,,
121,102.0,0.0,0,0,18.002272096205825,-92.91343951839164,0,145.65703636913494,18.002272096205825,-92.91343951839164,0.0
124,,,1,0,17.991606007888556,-92.93498744281203,0,50.70049409674304,,,
127,,,1,0,17.988617131314463,-92.93659033473595,0,96.66171119372314,,,
129,135.0,124.41842512286311,0,0,17.99418734877987,-92.92315095751978,0,40.08709161129839,17.993123477339605,-92.9224913629598,0.0
130,,,1,0,18.001837027977192,-92.92546188681362,0,39.852713754756785,,,
132,378.0,75.15167763190907,0,0,17.999538418982223,-92.90773350616267,0,142.27866720706706,17.99992408069563,-92.90813586253617,0.0
134,718.0,158.97378328572574,0,0,18.01227687705773,-92.93942980489841,0,49.63850851255982,18.012377877805196,-92.94069832188343,0.0
135,,,1,0,17.9997691501111,-92.91471401272503,0,32.29940426936802,,,
140,,,1,0,18.00862054588589,-92.94131401621638,0,13.7667184411997,,,
145,14.0,63.25302781886148,0,0,17.99185802843865,-92.91593314067714,0,142.18331632635358,17.992182627530042,-92.91670514659675,0.0
152,,,1,0,17.98861473255187,-92.92702187874431,0,72.63847494242394,,,
154,,,1,0,17.997849974006236,-92.92592688331301,0,670.8104714735555,,,
158,621.0,266.79654119930353,0,0,18.00488840772004,-92.93886176850722,0,181.4454325362974,18.004532311953337,-92.93805880980814,0.0
162,,,1,0,17.989090563442577,-92.93335293294525,0,330.2014487833913,,,
172,135.0,357.5847292428828,0,0,17.991416383405284,-92.9246610142674,0,22.092385132071882,17.993123477339605,-92.9224913629598,0.0
173,135.0,0.0,0,0,17.993123477339605,-92.9224913629598,0,59.53350230395119,17.993123477339605,-92.9224913629598,0.0
177,,,1,0,18.000344274807997,-92.91306010929021,0,32.803890268098165,,,
180,,,1,0,17.97612332366103,-92.92488401584754,0,43.35669072607145,,,
181,,,1,0,17.996011640932483,-92.90834310089289,0,2.85604822532817,,,
182,1168.0,257.89704443826844,0,0,17.999153206050522,-92.92900165546851,0,306.53285528738553,17.997410717517162,-92.92804998823645,0.0
184,,,1,0,18.0065417007932,-92.9344103647338,0,35.82542784248425,,,
185,1.0,155.688074440196,0,0,17.988084941532673,-92.91993728987168,0,75.40502477702407,17.987300439175495,-92.91925255753928,0.0
186,,,1,0,18.009674116895205,-92.93868828991982,0,59.649728975999594,,,
187,,,1,0,17.998196049786916,-92.92581561276299,0,583.1900436871251,,,
191,,,1,0,17.988925771230704,-92.92911463664396,0,119.38279016530204,,,
192,13.0,296.48832529523224,0,0,17.988928709157204,-92.92077408937692,0,73.4163972856472,17.986345863335632,-92.92140326522095,0.0
194,,,1,0,17.993148278908514,-92.92495923132411,0,114.94085385945813,,,
196,102.0,269.8193549470002,0,0,18.001934601022587,-92.91332754675321,0,159.1740591143762,18.002272096205825,-92.91343951839164,0.0
197,378.0,250.723745537287,0,0,18.00087033945839,-92.90641869488078,0,279.55596405645815,17.99992408069563,-92.90813586253617,0.0
199,,,1,0,17.994708909540233,-92.9246181180194,0,44.17824319557841,,,
204,718.0,342.89329272233056,0,0,18.01569818667977,-92.93953736555234,0,61.386027154196164,18.012377877805196,-92.94069832188343,0.0
205,,,1,0,17.99124098069143,-92.9200375389682,0,81.2596897898617,,,
208,5.0,277.8609563514576,0,0,17.99615494848989,-92.91780014473095,0,59.34477331411374,17.998160910663497,-92.91889623520736,0.0
213,,,1,0,17.988542411756452,-92.93432452403499,0,47.573260679829254,,,
220,11.0,340.49669972102333,0,0,17.9837855492738,-92.92345862062604,0,94.93740707058467,17.985501747928723,-92.9224077458434,0.0
222,3.0,142.06767481547405,0,0,17.993506804684824,-92.93336538679641,0,67.74423977572829,17.992152789467305,-92.93219019545471,0.0
223,,,1,0,18.00168396678862,-92.93128193150038,0,67.16325915429601,,,
224,,,1,0,18.005187543516897,-92.92830263800488,0,26.92211615840541,,,
240,13.0,93.97413046824929,0,0,17.987399481263797,-92.92213279240787,0,59.45991643511263,17.986345863335632,-92.92140326522095,0.0
244,,,1,0,17.972902584354852,-92.93797699241901,0,56.49281914759706,,,
246,,,1,0,17.977012862255755,-92.92821425735998,0,42.299667120060356,,,
247,,,1,0,17.978333895797952,-92.94015071882076,0,107.61451531272199,,,
250,135.0,134.12544942405563,0,0,17.992307078129677,-92.92282917278875,0,51.56871014642,17.993123477339605,-92.9224913629598,0.0
252,1.0,133.73578983958163,0,0,17.987967882487936,-92.92027851176029,0,31.081140494042504,17.987300439175495,-92.91925255753928,0.0
254,,,1,0,17.991259425835036,-92.93583292421721,0,27.56490802429635,,,
265,,,1,0,17.995326464224743,-92.92438051915936,0,125.93060920599628,,,
266,,,1,0,17.98816783224552,-92.93471476111486,0,36.30631786225736,,,
271,,,1,0,17.996715102206128,-92.93408965158399,0,988.7629840717188,,,
272,718.0,280.7200229749688,0,0,18.010232267559243,-92.93906401795854,0,2.833067246095638,18.012377877805196,-92.94069832188343,0.0
288,1168.0,236.92048814706155,0,0,17.99674945582711,-92.9297967459201,0,79.79314985224153,17.997410717517162,-92.92804998823645,0.0
289,11.0,284.21180945618363,0,0,17.983233143634703,-92.92285443726364,0,93.49100466515337,17.985501747928723,-92.9224077458434,0.0
292,378.0,285.92527863008655,0,0,18.0004730058051,-92.90952917427805,0,103.4215365842936,17.99992408069563,-92.90813586253617,0.0
303,12.0,332.50829726502104,0,0,17.97622707814878,-92.93228813371599,0,71.96570543666067,17.971971100901694,-92.93366073949416,0.0
308,595.0,277.47535028155943,0,0,18.00956173892941,-92.9046610753619,0,41.28763901346853,18.008075142035697,-92.90354226759457,0.0
309,,,1,0,18.01112808749638,-92.93570417784488,0,169.98070898662078,,,
314,,,1,0,18.014188134026774,-92.90258354548834,0,48.845794600507006,,,
317,,,1,0,17.995231724061274,-92.91796121555433,0,107.69958771911703,,,
320,621.0,249.5332038408655,0,0,18.003227725413126,-92.9377851793751,0,286.79113066110705,18.004532311953337,-92.93805880980814,0.0
325,2.0,245.68153338276824,0,0,17.98926861567209,-92.91796919089307,0,42.459191147212465,17.990897348730915,-92.91627148564557,0.0
338,,,1,0,17.988357922490096,-92.93744630436687,0,46.96670871460561,,,
341,,,1,0,18.001083513901065,-92.92851004675998,0,75.55170020572457,,,
343,,,1,0,17.977056661182203,-92.92778654910069,0,307.57225828198494,,,
344,4.0,283.2099681786473,0,0,17.9933944478394,-92.91430256691774,0,97.91471076458963,17.995492769487672,-92.91517312837995,0.0
347,718.0,245.70894104515216,0,0,18.010742783640435,-92.93901108763102,0,458.58638256381454,18.012377877805196,-92.94069832188343,0.0
351,,,1,0,17.98989291534562,-92.92334535450995,0,104.6211185899978,,,
354,1168.0,134.24057400753438,0,0,17.997859175835195,-92.92798683850032,0,66.09678006453056,17.997410717517162,-92.92804998823645,0.0
355,1.0,223.22422363078215,0,0,17.985355092540487,-92.91970132910437,0,276.4899840093907,17.987300439175495,-92.91925255753928,0.0
366,,,1,0,17.98455938893434,-92.92701314821399,0,161.78370021352083,,,
370,5.0,176.7057887687423,0,0,17.99705585564346,-92.9176623803437,0,67.20847558300213,17.998160910663497,-92.91889623520736,0.0
374,718.0,342.89329272233056,0,0,18.013199059794097,-92.93931152751308,0,528.5504757400993,18.012377877805196,-92.94069832188343,0.0
376,,,1,0,18.00755598076174,-92.90617920075046,0,24.15573469090201,,,
377,11.0,212.06453464276706,0,0,17.984196002169295,-92.92221114994844,0,66.4053331405865,17.985501747928723,-92.9224077458434,0.0
382,1.0,0.0,0,0,17.987300439175495,-92.91925255753928,0,52.55078683628069,17.987300439175495,-92.91925255753928,0.0
387,,,1,0,17.983745141602064,-92.92807774604502,0,70.23646674630213,,,
388,5.0,54.2294799638153,0,0,17.997092067974783,-92.91902376073526,0,33.53768720072966,17.998160910663497,-92.91889623520736,0.0
394,102.0,269.8193549470002,0,0,18.00170266243957,-92.91331565522567,0,107.6469504755331,18.002272096205825,-92.91343951839164,0.0
399,,,1,0,17.989541179270372,-92.93861676499327,0,187.48610335114674,,,
400,,,1,0,17.98958908978091,-92.92526702232614,0,71.42011456991445,,,
402,,,1,0,17.99536491857527,-92.9358736076653,0,34.218415211323276,,,
405,,,1,0,17.983903067655763,-92.92539530703276,0,153.52103782835022,,,
409,,,1,0,18.01175962644531,-92.9047845128209,0,53.50062577499395,,,
416,102.0,193.1736220681753,0,0,18.002075952852564,-92.91288584798036,0,57.73760602323161,18.002272096205825,-92.91343951839164,0.0
419,1168.0,257.89704443826844,0,0,17.999294424524443,-92.92778406076779,0,20.237259711540336,17.997410717517162,-92.92804998823645,0.0
421,,,1,0,17.99668733859992,-92.91135382266522,0,60.466734307729176,,,
424,,,1,0,17.997201198985444,-92.90663798716267,0,84.4236208625533,,,
425,,,1,0,18.012806511778695,-92.90622840317,0,83.95670357547061,,,
