i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
3,,,1,4,25.628850474292793,-100.26826056814745,4,41.53890164716615,,,
18,,,1,4,25.66524853690999,-100.2594137296251,4,110.86001112793657,,,
43,,,1,4,25.6614081837476,-100.2504316460678,4,72.4149558093775,,,
46,2270.0,292.6582411099547,0,4,25.641985804809035,-100.26458977224426,4,89.598296395456,25.642982382948194,-100.26153052833844,4.0
53,,,1,4,25.63738968287514,-100.26180341679648,4,184.05050159572284,,,
76,,,1,4,25.64746291814492,-100.26141679361258,4,53.66273401747674,,,
80,,,1,4,25.65474125202242,-100.27210741826653,4,28.245739991641464,,,
81,,,1,4,25.640757899096336,-100.27058018642616,4,117.61457725072958,,,
91,,,1,4,25.64376374565906,-100.27286804701801,4,141.42340594105585,,,
113,,,1,4,25.63492329645469,-100.26744076005609,4,196.61519927212146,,,
117,1443.0,316.53593000764863,0,4,25.64555592481107,-100.27172615144465,4,72.824280030577,25.645257459563943,-100.26977633282073,4.0
140,2270.0,138.17827832602111,0,4,25.64348625273442,-100.26121458602846,4,30.301035772356403,25.642982382948194,-100.26153052833844,4.0
148,,,1,4,25.64149673606907,-100.26674174070116,4,103.72854950725629,,,
202,1080.0,64.77160606819258,0,4,25.650704513513055,-100.25921076767517,4,130.91981385706933,25.6515171226097,-100.26328750648165,4.0
210,,,1,4,25.659367500956165,-100.25950242734939,4,91.09216644055768,,,
217,,,1,4,25.657996854898027,-100.25348083699446,4,43.602604495144966,,,
222,549.0,320.1506795578214,0,4,25.655190551338247,-100.26683763619076,4,53.274495260287516,25.65604757182293,-100.2658425776408,4.0
233,1443.0,346.36927573542266,0,4,25.643822130636327,-100.2687910610939,4,51.91122483578196,25.645257459563943,-100.26977633282073,4.0
236,,,1,4,25.64659860657849,-100.26690950061142,4,188.44831890096594,,,
237,,,1,4,25.646737695281765,-100.26307933586747,4,5.730272531989705,,,
242,,,1,4,25.64702404792298,-100.2647342388558,4,97.44133915050301,,,
256,33.0,317.1682111336901,0,4,25.654079472465803,-100.26283717730618,4,0.0,25.65683205217152,-100.26291471312224,4.0
286,,,1,4,25.654113703134467,-100.27133556153697,4,138.87476143143792,,,
331,2697.0,126.06949609885825,0,4,25.65785797436052,-100.25637656506171,4,232.46715336229207,25.656885658493096,-100.25671994460419,4.0
336,923.0,255.0002965099473,0,4,25.658984093276505,-100.2452796288123,4,44.80644680411514,25.661167439936513,-100.24755031966157,4.0
343,,,1,4,25.63176188842663,-100.26584744988362,4,43.95705154753194,,,
384,,,1,4,25.665028502059045,-100.25767560814823,4,110.90498970682108,,,
390,,,1,4,25.660882191186825,-100.25900958044029,4,29.44403977616917,,,
394,,,1,4,25.648438978048027,-100.26617811329858,4,93.44223992885912,,,
419,,,1,4,25.635434227446872,-100.26714454135582,4,0.0,,,
450,,,1,4,25.641056027331192,-100.27025608388259,4,65.96997193140778,,,
482,,,1,4,25.643286215111598,-100.2668053275522,4,92.29873494469486,,,
508,1443.0,362.54067844572353,0,4,25.646476256428944,-100.27248132814474,4,124.13445806726023,25.645257459563943,-100.26977633282073,4.0
536,,,1,4,25.664588853392274,-100.2600468442751,4,55.98025342179827,,,
555,,,1,4,25.653506131161,-100.27154756759258,4,39.217630904745235,,,
557,549.0,216.50051846322722,0,4,25.657023623563408,-100.26396942745329,4,86.97625870897058,25.65604757182293,-100.2658425776408,4.0
598,549.0,190.6264370530027,0,4,25.6574468215894,-100.26638132625715,4,29.74507691247921,25.65604757182293,-100.2658425776408,4.0
600,,,1,4,25.639826806140963,-100.27075328743292,4,31.33860692102497,,,
610,,,1,4,25.656610070966565,-100.25144152907194,4,142.5414161573924,,,
659,,,1,4,25.658859725017475,-100.2412167245471,4,153.6509768252642,,,
660,,,1,4,25.64347103002701,-100.27319121235996,4,144.88033834102583,,,
693,,,1,4,25.655965121507272,-100.252394401026,4,6.684071251901887,,,
698,1080.0,64.77160606819258,0,4,25.651366527894414,-100.26121507327393,4,46.04896303246214,25.6515171226097,-100.26328750648165,4.0
700,,,1,4,25.655433473745735,-100.26274293096876,4,48.80733638718929,,,
702,,,1,4,25.64421693972735,-100.26672506174548,4,125.5216358604905,,,
719,,,1,4,25.656981423028217,-100.27151467471207,4,14.530225800405729,,,
720,1080.0,286.68428404639707,0,4,25.650293434046596,-100.258861238155,4,49.62145842086162,25.6515171226097,-100.26328750648165,4.0
