i,p,dist_m,uncovered,cluster_solved,lat_i,lon_i,cluster_i,w_i,lat_p,lon_p,cluster_p
14,1016.0,295.0548406817758,0,0,25.677685259803525,-100.30009772725863,0,25.334280715263034,25.679567445472628,-100.30079918443712,0.0
16,24.0,353.07012150750865,0,0,25.687260388096153,-100.31262360923971,0,149.92043040218266,25.68445162771427,-100.31378530940994,0.0
19,51.0,220.94091349641536,0,0,25.690553910336302,-100.2888083709003,0,38.188859390354686,25.690593333883257,-100.28787546145786,0.0
20,,,1,0,25.67625273039972,-100.31086713975425,0,72.63401558460222,,,
23,3.0,171.41389532352042,0,0,25.68777018213456,-100.28983651427413,0,65.26270770962323,25.687109432449372,-100.29082141465199,0.0
25,,,1,0,25.68694412433473,-100.30470616719818,0,111.76538178926869,,,
34,,,1,0,25.693942822289387,-100.27514537232058,0,80.13214621158599,,,
36,,,1,0,25.68880466218781,-100.31289194111399,0,29.555519471926964,,,
38,,,1,0,25.685734727796575,-100.30866572560763,0,27.706175633464618,,,
56,147.0,310.9670105877799,0,0,25.68998241210967,-100.27619518592059,0,79.99084207694062,25.690975581914483,-100.27517426599623,0.0
62,,,1,0,25.683407093820605,-100.28114855639954,0,43.519894932545995,,,
75,1.0,0.0,0,0,25.680371501629217,-100.31622283395552,0,74.83757814489863,25.680371501629217,-100.31622283395552,0.0
83,46.0,266.6492887214333,0,0,25.679979944941056,-100.29683245126417,0,53.24312113630871,25.67962320476729,-100.29391986024814,0.0
84,1988.0,337.28052257457495,0,0,25.68922578514052,-100.28072482056353,0,246.05134495755377,25.691220316671235,-100.2817025818244,0.0
87,,,1,0,25.689024621719707,-100.27718601722637,0,78.20870565192475,,,
88,,,1,0,25.666348785551968,-100.30952156253798,0,6.660863959684635,,,
89,,,1,0,25.66481179811506,-100.31186858737534,0,9.287000335010307,,,
90,7.0,247.48249635040264,0,0,25.688322213691876,-100.28275529963256,0,72.56876440373007,25.68698165648188,-100.28378023537066,0.0
106,1206.0,324.5138929074001,0,0,25.674305290764643,-100.30711358110759,0,71.30039223050177,25.676698099211094,-100.30694460989564,0.0
107,1016.0,289.6642763054514,0,0,25.680121743274007,-100.2978834263358,0,88.67771418529205,25.679567445472628,-100.30079918443712,0.0
108,1016.0,93.45002117829678,0,0,25.68043525298112,-100.30068421725403,0,73.13598990654489,25.679567445472628,-100.30079918443712,0.0
111,58.0,215.5189935488848,0,0,25.677466016195293,-100.33009357328118,0,21.67919111329026,25.677166929258465,-100.32726278405026,0.0
115,,,1,0,25.682755002713126,-100.29063264717725,0,163.48508376231337,,,
116,,,1,0,25.68974179339254,-100.27886168256482,0,112.85910113140041,,,
120,,,1,0,25.683115479056404,-100.28402616232158,0,0.0,,,
121,36.0,279.49987332380795,0,0,25.669339027582716,-100.31639540448359,0,57.78884449918146,25.66812734188362,-100.31515976960493,0.0
122,,,1,0,25.683529089987406,-100.27324045782981,0,82.90412583200423,,,
127,147.0,0.0,0,0,25.690975581914483,-100.27517426599623,0,322.6016445941712,25.690975581914483,-100.27517426599623,0.0
132,,,1,0,25.672922392144407,-100.32603369324586,0,258.6645891673983,,,
135,1662.0,202.00180682490475,0,0,25.6849600474873,-100.29442718241222,0,64.99160491370247,25.686369236898695,-100.29493695458288,0.0
136,,,1,0,25.672057714759774,-100.33236619523483,0,44.82762697955182,,,
137,,,1,0,25.665007452457015,-100.3130766056501,0,0.0,,,
141,,,1,0,25.67952503700025,-100.30849635511295,0,27.134094081875844,,,
146,,,1,0,25.68020956569238,-100.30646750694584,0,103.06153708647705,,,
151,12.0,237.48311477848793,0,0,25.676124979717066,-100.31772437972026,0,10.149447872735148,25.675825307940105,-100.31493834780967,0.0
157,,,1,0,25.68625843778605,-100.27712051274689,0,26.614779216672343,,,
162,1206.0,352.93515110192527,0,0,25.674980145217816,-100.30621350942288,0,140.39290334460514,25.676698099211094,-100.30694460989564,0.0
165,1206.0,323.555143401651,0,0,25.675242735706174,-100.30893775890216,0,55.26615014224984,25.676698099211094,-100.30694460989564,0.0
171,52.0,145.53215358120258,0,0,25.67016200280153,-100.299330069251,0,44.536724408077546,25.6698102965615,-100.29966416990275,0.0
173,,,1,0,25.674628136157857,-100.30241943342625,0,5.088952922975902,,,
174,,,1,0,25.670621188162695,-100.30348198012024,0,9.236160419530473,,,
176,1662.0,226.35850147174557,0,0,25.686475921043318,-100.29590172544064,0,98.41930758694596,25.686369236898695,-100.29493695458288,0.0
183,36.0,169.4115156152335,0,0,25.667890273358733,-100.31344234106457,0,109.53448296820365,25.66812734188362,-100.31515976960493,0.0
184,,,1,0,25.682134949606215,-100.2738292044502,0,112.93724449032462,,,
189,,,1,0,25.68190246474856,-100.27455582108834,0,46.265019507051676,,,
192,,,1,0,25.69579246044887,-100.28513107720387,0,63.10697318402254,,,
197,,,1,0,25.693273282359236,-100.2792906065948,0,13.872767928457893,,,
198,147.0,325.4809977088895,0,0,25.693181197119443,-100.27326582026782,0,104.93512699778869,25.690975581914483,-100.27517426599623,0.0
205,,,1,0,25.689196104834792,-100.29382303198776,0,60.32284890355453,,,
206,3.0,0.0,0,0,25.687109432449372,-100.29082141465199,0,93.37602933832812,25.687109432449372,-100.29082141465199,0.0
215,46.0,125.6472737831547,0,0,25.679555331213116,-100.29282546301604,0,66.53560471538357,25.67962320476729,-100.29391986024814,0.0
219,,,1,0,25.682850273816275,-100.27363116932072,0,106.20389313440074,,,
220,,,1,0,25.68610107401499,-100.27895548931356,0,132.61797616962534,,,
226,,,1,0,25.671800166724626,-100.29936454593391,0,117.57319427154735,,,
230,3.0,95.99212021169417,0,0,25.68709378911159,-100.28985287223388,0,77.05052196362745,25.687109432449372,-100.29082141465199,0.0
243,,,1,0,25.690624482211778,-100.2942708874934,0,41.60027663287298,,,
244,7.0,265.03059410714815,0,0,25.684489351995946,-100.28384106512758,0,34.750714509982224,25.68698165648188,-100.28378023537066,0.0
245,,,1,0,25.688143798476585,-100.27331961987225,0,175.12402823094268,,,
253,1016.0,292.000743370098,0,0,25.677890962337784,-100.301970771699,0,20.898742389477608,25.679567445472628,-100.30079918443712,0.0
260,60.0,341.3073055918,0,0,25.66622284134268,-100.3083517658284,0,65.79984204222922,25.663947521623818,-100.30772448682356,0.0
263,15.0,94.8941829032418,0,0,25.677154062658364,-100.29525077322896,0,38.69556550270177,25.67802469347999,-100.29513227048085,0.0
264,147.0,110.88531349170904,0,0,25.69197271246514,-100.27516926027063,0,160.04881937116517,25.690975581914483,-100.27517426599623,0.0
265,35.0,264.76649266650224,0,0,25.69307974957452,-100.29840564163185,0,151.14418215122407,25.693327384084096,-100.30023242691212,0.0
270,269.0,0.0,0,0,25.667477324928026,-100.30263448101402,0,106.42557115215997,25.667300097324038,-100.30246602949777,0.0
276,,,1,0,25.68471599880139,-100.28790834204455,0,152.42460916556536,,,
279,1.0,311.98429279618813,0,0,25.67870503983957,-100.3173864219995,0,160.6149600721759,25.680371501629217,-100.31622283395552,0.0
285,269.0,282.422441003985,0,0,25.667169943807743,-100.3041513111216,0,181.34938884959814,25.667300097324038,-100.30246602949777,0.0
290,,,1,0,25.685726258190336,-100.30701878184094,0,182.71951447190435,,,
298,,,1,0,25.686834186828936,-100.27420619900656,0,177.2834962874881,,,
