"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6304246","09015462111000396000003517S1","112 LA COMER SANTA MARIA LA RIBERA","COMERCIAL CITY FRESKO","462111","Comercio al por menor en supermercados","101 a 250 personas","CALLE","NOGAL","CALLE","PRIMERA CERRADA DE LA SEXTA DE NOGAL","CALLE","MANUEL CARPIO","CIRCUITO","INTERIOR (INSTITUTO TÉCNICO INDUSTRIAL)","212",,,,,,"COLONIA","SANTA MARIA LA RIBERA",,,,"06400","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","0466","015",,"YPALACIOS@LACOMER.COM.MX","WWW.LACOMER.COM.MX","Fijo","19.4512471","-99.16344573","2010-07"
"6304701","09015462112002824000003517S7","227 SUMESA BAJIO","COMERCIAL CITY FRESKO","462111","Comercio al por menor en supermercados","51 a 100 personas","CALLE","BAJIO Y TLACOTALPAN","VIADUCTO","PRESIDENTE MIGUEL ALEMÁN","CALLE","BAJÍO","CALLE","ANÁHUAC","266",,,,,,"COLONIA","ROMA",,,,"06760","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","145A","012",,"YPALACIOS@LACOMER.COM.MX","WWW.LACOMER.COM.MX","Fijo","19.40304723","-99.16571538","2010-07"
"6304730","09015462112002844001003517S5","230 SUMESA COLIMA","COMERCIAL CITY FRESKO","462111","Comercio al por menor en supermercados","51 a 100 personas","CALLE","COLIMA","CALLE","CÓRDOBA","CALLE","MÉRIDA","CALLE","DURANGO","115",,,,,,"COLONIA","ROMA",,,,"06700","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","1017","007",,"YPALACIOS@LACOMER.COM.MX","WWW.LACOMER.COM.MX","Fijo","19.4204059","-99.15785899","2010-07"
"6304153","09015462111000214000003517S6","232 SUMESA LONDRES","COMERCIAL CITY FRESKO","462111","Comercio al por menor en supermercados","51 a 100 personas","CALLE","LONDRES","CALLE","BERLÍN","CALLE","BRUSELAS","CALLE","LIVERPOOL",,"SN",,,,,"COLONIA","JUAREZ",,,,"06600","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","0841","011",,"YPALACIOS@LACOMER.COM","WWW.LACOMER.COM.MX","Fijo","19.42885579","-99.15657384","2010-07"
"6304676","09015462111000295000003517S5","233 SUMESA OAXACA","COMERCIAL CITY FRESKO","462111","Comercio al por menor en supermercados","51 a 100 personas","AVENIDA","OAXACA","CALLE","TABASCO","EJE VIAL","3 PONIENTE (SALAMANCA)","CALLE","VALLADOLID","120",,,,,,"COLONIA","JUAREZ",,,,"06700","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","1093","004",,"YPALACIOS@LACOMER.COM","WWW.LACOMER.COM.MX","Fijo","19.41714145","-99.16870752","2010-07"
"6304706","09015462111000224000003517S4","234 SUMESA YUCATAN","COMERCIAL CITY FRESKO","462111","Comercio al por menor en supermercados","51 a 100 personas","AVENIDA","YUCATÁN","CALLE","COAHUILA","CALLE","CHIAPAS","CALLE","TONALÁ","133",,,,,,"COLONIA","ROMA",,,,"06700","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","1375","014",,"YPALACIOS@LACOMER.COM.MX","WWW.LACOMER.COM.MX","Fijo","19.4125437","-99.16052182","2010-07"
"6325663","09015462111000093012000404S0","6123 WALDOS BALDERAS","WALDOS DOLAR MART DE MEXICO","462112","Comercio al por menor en minisupers","11 a 30 personas","AVENIDA","BALDERAS","CALLE","ARTÍCULO 123","CALLE","VICTORIA","CALLE","REVILLAGIGEDO","72",,,,,,"COLONIA","CENTRO",,,,"06000","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","0748","024",,"STORE6123@GRUPOVIZION.COM.MX","WWW.WALDOS.COM.MX","Fijo","19.43246777","-99.14773286","2010-07"
"6325664","09015462111000113010000404S6","6125 WALDOS METRO INSURGENTES","WALDOS DOLAR MART DE MEXICO","462112","Comercio al por menor en minisupers","11 a 30 personas","CALLE","PUEBLA","AVENIDA","INSURGENTES SUR","AVENIDA","OAXACA","CALLE","SINALOA","186",,,,,,"COLONIA","ROMA",,,,"06700","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","0998","020",,"STORE6125@GRUPOVIZION.COM.MX","WWW.WALDOS.COM.MX","Fijo","19.42208548","-99.16363182","2010-07"
"9450085","09015462112006211001003361S0","650184 NETO ECUADOR","TIENDAS SUPER PRECIO","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","REPÚBLICA DE ECUADOR","CALLE","SAN CAMILITO","CALLE","ALLENDE","PEATONAL","PLAZA GARIBALDI","28",,,,,,"COLONIA","CENTRO AREA 6",,,,"06010","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","0536","008",,"OSCAR.ABREGO@ELEKTRA.COM.MX",,"Fijo","19.44263024","-99.13733192","2023-11"
"9399231","09015462112006232000003361S6","650391 NETO DR JIMENEZ","TIENDAS SUPER PRECIO","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","DOCTOR MIGUEL FRANCISCO JIMÉNEZ","CALLE","DOCTOR MÁRQUEZ","CALLE","DOCTOR RAFAEL NORMA","CALLE","PRIVADA DOCTOR MÁRQUEZ","286",,,,,,"COLONIA","DOCTORES",,,,"06720","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","1233","015",,"OSCAR.ABREGO@ELEKTRA.COM.MX",,"Fijo","19.41094962","-99.15049648","2023-11"
