D_MAX,S_MIN,p_total,beta,coverage_rate,w_mean_dist_m,n_covered,runtime_s,solver_status,w_coverage_rate
300,200,5,0.1,0.3973,171.25,824,6.62,OK,
300,200,5,0.25,0.3973,171.54,824,5.71,OK,
300,200,5,0.5,0.393,175.44,815,5.9,OK,
300,200,7,0.1,0.4701,172.31,975,6.46,OK,
300,200,7,0.25,0.4701,172.31,975,6.74,OK,
300,200,7,0.5,0.4662,173.64,967,6.5,OK,
300,200,9,0.1,0.5318,171.91,1103,7.54,OK,
300,200,9,0.25,0.5256,173.38,1090,7.52,OK,
300,200,9,0.5,0.5227,173.38,1084,7.5,OK,
300,240,5,0.1,0.3973,171.25,824,9.47,OK,
300,240,5,0.25,0.3973,171.54,824,9.17,OK,
300,240,5,0.5,0.393,175.44,815,9.01,OK,
300,240,7,0.1,0.4701,172.31,975,9.73,OK,
300,240,7,0.25,0.4701,172.31,975,10.34,OK,
300,240,7,0.5,0.4662,173.64,967,10.1,OK,
300,240,9,0.1,0.5318,171.91,1103,10.8,OK,
300,240,9,0.25,0.5256,173.38,1090,11.2,OK,
300,240,9,0.5,0.5227,173.38,1084,10.58,OK,
300,300,5,0.1,0.3973,171.25,824,15.36,OK,
300,300,5,0.25,0.3973,171.54,824,14.6,OK,
300,300,5,0.5,0.393,175.44,815,14.01,OK,
300,300,7,0.1,0.4701,172.31,975,15.38,OK,
300,300,7,0.25,0.4701,172.31,975,18.13,OK,
300,300,7,0.5,0.4662,173.64,967,17.05,OK,
300,300,9,0.1,0.5318,171.91,1103,17.6,OK,
300,300,9,0.25,0.5256,173.38,1090,16.38,OK,
300,300,9,0.5,0.5227,173.38,1084,15.99,OK,
366,200,5,0.1,0.5096,216.82,1057,8.78,OK,
366,200,5,0.25,0.5063,217.12,1050,8.26,OK,
366,200,5,0.5,0.5063,216.5,1050,12.78,OK,
366,200,7,0.1,0.5824,212.96,1208,8.59,OK,
366,200,7,0.25,0.5824,212.83,1208,8.88,OK,
366,200,7,0.5,0.5839,214.23,1211,8.17,OK,
366,200,9,0.1,0.6369,210.43,1321,9.07,OK,
366,200,9,0.25,0.6369,210.17,1321,8.3,OK,
366,200,9,0.5,0.6321,210.9,1311,8.31,OK,
366,240,5,0.1,0.5096,216.82,1057,15.43,OK,
366,240,5,0.25,0.5063,217.12,1050,11.74,OK,
366,240,5,0.5,0.5063,216.5,1050,12.44,OK,
366,240,7,0.1,0.5824,212.96,1208,12.58,OK,
366,240,7,0.25,0.5824,212.83,1208,13.24,OK,
366,240,7,0.5,0.5839,214.23,1211,15.26,OK,
366,240,9,0.1,0.6369,210.43,1321,15.35,OK,
366,240,9,0.25,0.6369,210.17,1321,11.08,OK,
366,240,9,0.5,0.6321,210.9,1311,11.04,OK,
366,300,5,0.1,0.5096,216.82,1057,19.56,OK,
366,300,5,0.25,0.5063,217.12,1050,17.76,OK,
366,300,5,0.5,0.5063,216.5,1050,22.38,OK,
366,300,7,0.1,0.5844,212.98,1212,18.38,OK,
366,300,7,0.25,0.5844,212.87,1212,21.93,OK,
366,300,7,0.5,0.5858,214.31,1215,19.52,OK,
366,300,9,0.1,0.6369,210.67,1321,17.86,OK,
366,300,9,0.25,0.6369,210.38,1321,18.54,OK,
366,300,9,0.5,0.6321,211.32,1311,19.2,OK,
450,200,5,0.1,0.6181,259.93,1282,12.01,OK,
450,200,5,0.25,0.6186,263.93,1283,12.47,OK,
450,200,5,0.5,0.6186,264.8,1283,14.32,OK,
450,200,7,0.1,0.7035,260.71,1459,11.27,OK,
450,200,7,0.25,0.7035,261.21,1459,11.99,OK,
450,200,7,0.5,0.6982,261.88,1448,10.8,OK,
450,200,9,0.1,0.7445,244.38,1544,15.19,OK,
450,200,9,0.25,0.7416,244.36,1538,24.61,OK,
450,200,9,0.5,0.7435,243.39,1542,19.05,OK,
450,240,5,0.1,0.6181,259.93,1282,18.65,OK,
450,240,5,0.25,0.6186,263.93,1283,15.9,OK,
450,240,5,0.5,0.6186,264.8,1283,14.33,OK,
450,240,7,0.1,0.7035,260.71,1459,14.04,OK,
450,240,7,0.25,0.7035,261.21,1459,14.08,OK,
450,240,7,0.5,0.6982,261.88,1448,14.29,OK,
450,240,9,0.1,0.7445,244.38,1544,17.0,OK,
450,240,9,0.25,0.7416,244.36,1538,19.24,OK,
450,240,9,0.5,0.7435,243.39,1542,18.77,OK,
450,300,5,0.1,0.6181,259.93,1282,24.4,OK,
450,300,5,0.25,0.6186,263.93,1283,29.41,OK,
450,300,5,0.5,0.6186,264.8,1283,25.47,OK,
450,300,7,0.1,0.7035,260.71,1459,24.93,OK,
450,300,7,0.25,0.7035,261.21,1459,19.38,OK,
450,300,7,0.5,0.6982,261.88,1448,19.29,OK,
450,300,9,0.1,0.7445,244.38,1544,33.72,OK,
450,300,9,0.25,0.7416,244.36,1538,31.86,OK,
450,300,9,0.5,0.7435,243.39,1542,24.3,OK,
