cluster_id,n_demand_nodes,population,weighted_demand,demand_share_pct,old_fixed_allocation,proportional_population_allocation,proportional_weighted_allocation,raw_proportional_weighted
0,176,28218,30618.1,12.04,7,5,5,5.056
1,174,24040,25850.1,10.16,7,5,4,4.269
2,168,24575,26171.7,10.29,7,5,4,4.322
3,155,23394,24256.9,9.54,7,4,4,4.006
4,138,27182,28898.3,11.36,7,4,5,4.772
5,130,18887,19749.3,7.76,7,4,3,3.261
6,121,17432,18746.7,7.37,7,4,3,3.096
7,112,20152,21767.2,8.56,7,3,4,3.595
8,108,17017,17990.3,7.07,7,3,3,2.971
9,91,21142,21065.6,8.28,7,3,4,3.479
10,77,17507,19224.2,7.56,7,2,3,3.175
