id,lat,lon,cluster,opened,cluster_solved
352,19.43276638318357,-99.20801232577838,0,True,0
375,19.418442913913346,-99.2129423048947,0,True,0
481,19.423026373558645,-99.20398775502188,0,True,0
929,19.424669885030166,-99.21191172827872,0,True,0
989,19.430388099250766,-99.21237958526945,0,True,0
151,19.42868362389788,-99.19205562859054,1,True,1
480,19.4339024618627,-99.19656115078278,1,True,1
802,19.431057121253687,-99.1995639996594,1,True,1
910,19.433118638320195,-99.18943640985232,1,True,1
332,19.427507322836643,-99.14298427965458,2,True,2
454,19.42974768534993,-99.14730081950528,2,True,2
654,19.422987290878865,-99.13467814021055,2,True,2
877,19.41797861421494,-99.13724471945795,2,True,2
455,19.415238620437343,-99.13988646484228,3,True,3
456,19.41384027292479,-99.13407174444782,3,True,3
528,19.411626448105164,-99.1362084456869,3,True,3
961,19.412878385677924,-99.14920832620513,3,True,3
227,19.424712353793897,-99.15038569758777,4,True,4
563,19.42211300961631,-99.16001006038724,4,True,4
671,19.430537600226632,-99.15256376955796,4,True,4
993,19.42143079066333,-99.1559384092943,4,True,4
1017,19.42396436426864,-99.15824986264738,4,True,4
256,19.412736967449643,-99.18548716596774,5,True,5
577,19.41188867517368,-99.17357007168872,5,True,5
1037,19.416736525852407,-99.17632927165562,5,True,5
371,19.418913959224614,-99.17327632826904,6,True,6
634,19.424997619609723,-99.1696451206619,6,True,6
722,19.421375837964547,-99.16935429380902,6,True,6
348,19.415946450457017,-99.1613539436058,7,True,7
692,19.412427446008753,-99.16781763654647,7,True,7
791,19.418416330347284,-99.1564900192075,7,True,7
1050,19.411981674146833,-99.1575203524656,7,True,7
677,19.43499763085249,-99.18142038356422,8,True,8
706,19.431208676251693,-99.17801403705845,8,True,8
914,19.435609084529062,-99.1743928326434,8,True,8
148,19.439056013886013,-99.14575073515331,9,True,9
511,19.43782331930106,-99.1518315029987,9,True,9
565,19.439494426914653,-99.15760287616422,9,True,9
681,19.438416173181203,-99.14164728397093,9,True,9
453,19.437282603434728,-99.16462872203628,10,True,10
908,19.433724352138594,-99.16467608706364,10,True,10
1052,19.439659337543105,-99.17225786386928,10,True,10
