cluster,opened,n_demands,covered,pct_covered,mean_dist_m,w_mean_dist_m,objective_value,solver_status
0,5,176,74,42.05,231.9,218.7,73696354.73947167,Optimal
1,4,174,78,44.83,227.59,218.75,60856299.86701799,Optimal
2,4,168,153,91.07,162.34,155.32,9188646.261045078,Optimal
3,4,155,147,94.84,170.7,152.69,11355468.021897694,Optimal
4,5,138,132,95.65,199.86,184.64,8869081.534354854,Optimal
5,3,130,77,59.23,221.49,230.68,40727906.72058092,Optimal
6,3,121,94,77.69,207.77,221.62,18570104.753029544,Optimal
7,4,112,106,94.64,190.02,184.06,6864902.929300742,Optimal
8,3,108,75,69.44,244.8,256.09,25377827.836042695,Optimal
9,4,91,78,85.71,199.5,185.71,8718461.122642592,Optimal
10,3,77,71,92.21,202.8,194.37,6372352.963909659,Optimal
