id,lat,lon,cluster,opened,cluster_solved
198,25.69011454826983,-100.29500858590464,0,True,0
577,25.691751560356256,-100.28268329106884,0,True,0
597,25.6835164034496,-100.3050843693565,0,True,0
989,25.68334762190112,-100.27351564865728,0,True,0
1016,25.679567445472628,-100.30079918443712,0,True,0
1107,25.689029210092652,-100.27805486492662,0,True,0
1206,25.676698099211094,-100.30694460989564,0,True,0
1446,25.693762797203597,-100.27505871216444,0,True,0
1535,25.66714691532126,-100.30257385967715,0,True,0
2219,25.68476716245139,-100.29274240121973,0,True,0
2375,25.675538864534655,-100.29851082638744,0,True,0
926,25.63236300632588,-100.29625915204612,1,True,1
930,25.637397057658703,-100.30452498794638,1,True,1
1408,25.63191453744069,-100.28553063678524,1,True,1
1526,25.643417858538736,-100.31540996903944,1,True,1
1543,25.62989691909732,-100.29093366045392,1,True,1
1584,25.628310385838528,-100.28134217676389,1,True,1
1901,25.62106969720447,-100.29481336512806,1,True,1
2647,25.634708650710497,-100.29095887696988,1,True,1
2816,25.6204465633546,-100.2811173401712,1,True,1
2855,25.639706286692707,-100.2993661419968,1,True,1
2921,25.640716513184135,-100.31035728035997,1,True,1
162,25.65016576581614,-100.31499546275847,2,True,2
391,25.667293646498607,-100.29354325249112,2,True,2
528,25.653825528627863,-100.32770768010054,2,True,2
627,25.65323418655238,-100.31814564603184,2,True,2
1233,25.648017283039596,-100.27587126406996,2,True,2
1325,25.656928158982105,-100.32368560581128,2,True,2
1477,25.65054041114795,-100.28254277315588,2,True,2
2328,25.657794731961772,-100.32852174782111,2,True,2
2812,25.64472065126296,-100.30844883296626,2,True,2
2836,25.650411480682543,-100.30169663878227,2,True,2
156,25.67258082671206,-100.26503020384384,3,True,3
2567,25.6629822717345,-100.27393721508314,3,True,3
2874,25.6771747700636,-100.25333590548304,3,True,3
3063,25.662828247441897,-100.27016236227468,3,True,3
3079,25.67766162712996,-100.27228996956995,3,True,3
549,25.65604757182293,-100.2658425776408,4,True,4
1443,25.645257459563943,-100.26977633282073,4,True,4
2270,25.64298238294819,-100.26153052833844,4,True,4
2066,25.61948776942183,-100.26708917377395,5,True,5
2409,25.616453484860433,-100.2653850202546,5,True,5
