id,lat,lon,cluster,opened,cluster_solved
206,17.993123477339605,-92.9224913629598,0,1,0
632,17.99992408069563,-92.90813586253616,0,1,0
638,17.998232165011082,-92.92623548755437,0,1,0
662,17.990680214835525,-92.9235603187187,0,1,0
872,17.984564667201866,-92.92975217469258,0,1,0
1060,18.008075142035697,-92.90354226759456,0,1,0
1104,18.004532311953337,-92.93805880980814,0,1,0
1304,18.012377877805196,-92.94069832188345,0,1,0
1348,17.976502026241892,-92.927769807917,0,1,0
1800,17.991819168471313,-92.93714052659746,0,1,0
2158,17.997410717517162,-92.92804998823644,0,1,0
2231,18.002423361565725,-92.9137229883664,0,1,0
2275,17.99630597215832,-92.93548518619332,0,1,0
347,18.00029576887634,-92.95437713651636,1,1,1
397,17.980175997218655,-92.95902497030724,1,1,1
452,17.993725959905156,-92.95585660461202,1,1,1
527,17.997869016012622,-92.94114296458864,1,1,1
861,17.998801650256976,-92.95007549094191,1,1,1
1042,17.987599851995494,-92.94549762565084,1,1,1
1364,18.014266957403557,-92.95847600442134,1,1,1
1697,18.012320110939108,-92.95139500455784,1,1,1
2027,17.9774005104954,-92.95618499702512,1,1,1
2061,17.980244779772534,-92.95379610936791,1,1,1
2133,17.997941327800124,-92.95630222691028,1,1,1
2188,17.973114200536855,-92.95218064783698,1,1,1
2223,17.99058791376991,-92.9557309356672,1,1,1
311,17.983326504338304,-92.90635889458524,2,1,2
798,17.980926739568876,-92.9112504972802,2,1,2
963,17.978218789918003,-92.9166905130994,2,1,2
1261,17.97607899071451,-92.90893843080528,2,1,2
1833,17.99489818311808,-92.9084908340938,2,1,2
2328,17.97367465854504,-92.90478896257711,2,1,2
410,18.013760157241343,-92.89821768754145,3,1,3
435,18.022411376150387,-92.89966598272056,3,1,3
542,18.024023592630325,-92.89536084513004,3,1,3
1432,18.018626737719146,-92.89886082429734,3,1,3
1664,18.025535507183815,-92.89985877683468,3,1,3
2204,18.02098682799758,-92.90458760309892,3,1,3
339,18.01473160105976,-92.94725348884562,4,1,4
388,18.027190432659967,-92.91592113284412,4,1,4
1090,18.019736487121783,-92.92244698018024,4,1,4
1878,18.0216347438369,-92.91645435246768,4,1,4
