id,lat,lon,cluster,opened,cluster_solved
231,25.69011454826983,-100.29500858590464,0,1,0
912,25.691751560356256,-100.28268329106884,0,1,0
959,25.6835164034496,-100.3050843693565,0,1,0
1691,25.68334762190112,-100.27351564865728,0,1,0
1748,25.679567445472628,-100.30079918443712,0,1,0
1910,25.689029210092652,-100.27805486492662,0,1,0
2071,25.676698099211094,-100.30694460989564,0,1,0
2479,25.693762797203597,-100.27505871216444,0,1,0
2635,25.66714691532126,-100.30257385967715,0,1,0
3853,25.68476716245139,-100.29274240121973,0,1,0
4123,25.675538864534655,-100.29851082638744,0,1,0
1573,25.63236300632588,-100.29625915204612,1,1,1
1577,25.637397057658703,-100.30452498794638,1,1,1
2421,25.63191453744069,-100.28553063678524,1,1,1
2617,25.643417858538736,-100.31540996903944,1,1,1
2649,25.62989691909732,-100.29093366045392,1,1,1
2720,25.628310385838528,-100.28134217676389,1,1,1
3293,25.62106969720447,-100.29481336512806,1,1,1
4589,25.634708650710497,-100.29095887696988,1,1,1
4880,25.6204465633546,-100.2811173401712,1,1,1
4941,25.639706286692707,-100.2993661419968,1,1,1
5047,25.640716513184135,-100.31035728035997,1,1,1
171,25.65016576581614,-100.31499546275847,2,1,2
574,25.667293646498607,-100.29354325249112,2,1,2
807,25.653825528627863,-100.32770768010054,2,1,2
1010,25.65323418655238,-100.31814564603184,2,1,2
2110,25.648017283039596,-100.27587126406996,2,1,2
2277,25.656928158982105,-100.32368560581128,2,1,2
2527,25.65054041114795,-100.28254277315588,2,1,2
4049,25.657794731961772,-100.32852174782111,2,1,2
4873,25.64472065126296,-100.30844883296626,2,1,2
4910,25.650411480682543,-100.30169663878227,2,1,2
157,25.67258082671206,-100.26503020384384,3,1,3
4452,25.6629822717345,-100.27393721508314,3,1,3
4977,25.6771747700636,-100.25333590548304,3,1,3
5314,25.662828247441897,-100.27016236227468,3,1,3
5341,25.67766162712996,-100.27228996956995,3,1,3
849,25.65604757182293,-100.2658425776408,4,1,4
2476,25.645257459563943,-100.26977633282073,4,1,4
3949,25.64298238294819,-100.26153052833844,4,1,4
3592,25.61948776942183,-100.26708917377395,5,1,5
4186,25.616453484860433,-100.2653850202546,5,1,5
